,gage_name,obsnet_infiltration_annual_m3pd,obsrainfall_annual_m3pd,obsrunoff_annual_m3pd
0,9120-Afono,10421.432136348534,18726.22305490937,6172.540984818287
1,Fagaitua,3771.391971117763,6459.860247653916,1091.149211955408
2,9060,1565.7464589577764,3148.9041148979895,636.5239990448904
3,9639,1021.5740796952043,2256.953530424745,505.8427394613106
4,9600,3246.0921722401645,5402.0580736845195,1254.6277727530685
5,Vaipito,19405.08503465473,31662.79786810226,8358.200555376201
6,Fagaalu,14700.810184094711,25643.06063368249,7305.220915477501
7,9175-Fagasa,4357.352594252648,8037.269836671352,2682.866290221281
8,9480,5188.732887344838,9450.99206117305,2796.157256559518
9,9442-Nuuuli,16373.59153749922,27778.602120808242,7870.409213553172
10,9205,23644.115406962377,38839.31398951566,9329.29473473364
11,9250-Maloata,13867.669328869739,28794.60215263896,11109.354585649367
12,9335-Leone,22497.70551638585,35193.13356445379,7433.904998196504
13,9310,3397.4413974721874,7105.709155343916,2210.9899693100647
14,9315,6016.682413907392,10995.569481994253,3298.80585759821
