OID,SHED_NAME,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
0,Fagatuitui - Vaaogeoge,1,504,5040000.000000000000000,0.000000000000000,167.850006103999988,167.850006103999988,42.985178531199999,22.074305843299999,21664.529979700000695
1,Vatia,2,488,4880000.000000000000000,0.000000000000000,164.399993896000012,164.399993896000012,41.740614803100001,23.222826808299999,20369.420023899998341
2,Tula,3,162,1620000.000000000000000,0.000000000000000,106.339996338000006,106.339996338000006,8.499197533840000,15.015932632000000,1376.870000480000044
3,Onenoa,4,91,910000.000000000000000,0.000000000000000,98.739997863799999,98.739997863799999,8.762197753890000,10.442935117999999,797.359995604000005
4,Afono,5,337,3370000.000000000000000,0.000000000000000,179.110000609999986,179.110000609999986,37.454183926600003,22.890065709999998,12622.059983299999658
5,Masefau,6,360,3600000.000000000000000,0.000000000000000,273.750000000000000,273.750000000000000,29.264999900599999,26.113995356000000,10535.399964199999886
6,Aoa,7,218,2180000.000000000000000,0.000000000000000,93.220001220699999,93.220001220699999,11.866192672200000,13.166476682100001,2586.830002549999790
7,Masausi,8,157,1570000.000000000000000,0.000000000000000,112.400001525999997,112.400001525999997,14.450127404200000,12.494088524000000,2268.670002459999978
8,Sailele,9,69,690000.000000000000000,0.000000000000000,105.260002135999997,105.260002135999997,11.588115982400000,18.572637144500000,799.580002785000033
9,Alao,10,134,1340000.000000000000000,0.000000000000000,93.660003662099996,93.660003662099996,9.129104547310000,7.985248117490000,1223.300009340000088
10,Pago Pago Harbor,11,1049,10490000.000000000000000,0.000000000000000,251.750000000000000,251.750000000000000,43.975052471700003,23.017673202899999,46129.830042800000228
11,Fagaitua,12,480,4800000.000000000000000,0.000000000000000,100.110000610000000,100.110000610000000,20.149624989700001,12.501451567700000,9671.819995050000216
12,Auasi,13,95,950000.000000000000000,0.000000000000000,82.830001831100006,82.830001831100006,8.527894757920000,8.323858583390001,810.150002003000054
13,Amouli,14,196,1960000.000000000000000,0.000000000000000,23.530000686600001,23.530000686600001,8.133214271650001,2.809388512540000,1594.109997239999984
14,Alega,15,133,1330000.000000000000000,0.000000000000000,145.729995728000006,145.729995728000006,37.743834531399997,18.244476567100001,5019.929992680000396
15,Laulii - Aumi,16,268,2680000.000000000000000,9.060000419620000,122.980003357000001,113.920002937000007,35.916753804499997,11.743942026599999,9625.690019609999581
16,Fagasa,17,352,3520000.000000000000000,0.000000000000000,181.070007323999988,181.070007323999988,54.605142208700002,25.590000295599999,19221.010057399998914
17,Aasu,18,841,8410000.000000000000000,0.000000000000000,197.259994506999988,197.259994506999988,49.157383950499998,22.837832604900001,41341.359902399999555
18,Fagaalu,19,245,2450000.000000000000000,0.000000000000000,158.240005493000012,158.240005493000012,54.432775555799999,25.203366540299999,13336.030011200000445
19,Aoloau Sisifo,20,159,1590000.000000000000000,0.000000000000000,158.389999390000014,158.389999390000014,44.621132028900000,25.303369652299999,7094.759992600000260
20,Aoloau Sasae,21,529,5290000.000000000000000,0.000000000000000,209.630004882999998,209.630004882999998,54.132117278599999,24.632515833399999,28635.890040400001453
21,Fagamalo,22,212,2120000.000000000000000,0.000000000000000,118.830001831000004,118.830001831000004,36.317122589900002,17.415649656799999,7699.229989049999858
22,Matuu - Faganeanea,23,263,2630000.000000000000000,0.000000000000000,155.669998168999996,155.669998168999996,47.255513354400001,20.027643113000000,12428.200012200000856
23,Nuuuli Pala,24,1758,17580000.000000000000000,0.000000000000000,183.320007323999988,183.320007323999988,38.263156986500000,24.936405017599999,67266.629982300000847
24,Maloata,25,281,2810000.000000000000000,0.000000000000000,198.660003662000008,198.660003662000008,50.416298859500003,26.500082412899999,14166.979979499999899
25,Fagalii,26,203,2030000.000000000000000,0.000000000000000,126.000000000000000,126.000000000000000,28.974729049400000,15.004137498600000,5881.869997019999573
26,Afao - Asili,27,279,2790000.000000000000000,5.719999790190000,139.630004882999998,133.910005092999995,41.306953522500002,19.445548466399998,11524.640032799999972
27,Leone,28,1465,14650000.000000000000000,0.980000019073000,202.419998168999996,201.439998150000008,24.903726939100000,20.587672196500002,36483.959965800000646
28,Poloa,29,109,1090000.000000000000000,0.000000000000000,112.080001831000004,112.080001831000004,19.192660585500001,12.537584721700000,2092.000003810000180
29,Nua - Seetaga,30,311,3110000.000000000000000,5.969999790190000,91.129997253400006,85.159997463200000,29.786077111499999,13.671877050399999,9263.469981669999470
30,Tafuna Plain,31,1424,14240000.000000000000000,0.000000000000000,113.129997252999999,113.129997252999999,12.382450848600000,9.504627137190001,17632.610008399999060
31,Amanave,32,102,1020000.000000000000000,4.599999904630000,32.360000610400000,27.760000705700001,16.076176479800001,5.747746730800000,1639.770000929999924
32,Fagatele - Larsen,33,319,3190000.000000000000000,0.000000000000000,122.349998474000003,122.349998474000003,19.092445080600001,10.443185047500000,6090.489980700000160
