,SHED_NAME,actual_et,direct_net_infiltation,direct_soil_moisture,interception,net_infiltration,rainfall,runoff
0,Fagatuitui - Vaaogeoge,4288.250685514942,0.0,0.0,6660.283614529945,33372.52416829613,54627.34856931183,12055.013996214024
1,Vatia,4995.880758596126,518.633197745493,37.57808219180866,5954.984768891962,32858.12897255992,54504.86487006518,12939.435019805764
2,Tula,2294.830840565638,503.0174151402864,12.526027397247747,1123.313258309098,4947.425919641195,8937.536282887097,1209.5479967234694
3,Onenoa,1188.7339218073623,153.3881607449873,8.350684931498499,836.5924948491446,3262.174198736803,5584.826725499939,502.3772037077916
4,Afono,3812.2894859802723,377.56925309312123,12.52602739725749,3124.582739854767,22888.71247235076,36581.07306832956,8307.115240406316
5,Masefau,3884.209771498323,795.7228342843923,4.175342465761775,3553.5922211488437,21446.333389626412,33511.55606914389,6123.967818224746
6,Aoa,2689.2058645691527,366.69944897635617,8.35068493150184,1824.8473455774968,8239.064099239898,13887.460411383867,1671.2225811027681
7,Masausi,1776.3855344591002,470.7698521458807,8.350684931505945,1605.920222020377,7070.9285277991785,11444.30747331714,1618.9890414258816
8,Sailele,603.865863174171,181.4255861225872,8.350684931494325,525.7730410688202,2289.180221620588,3762.3663300381127,544.0192861700581
9,Alao,2014.7071233505799,482.2520440097919,8.350684931509631,1205.1917226261633,5140.751236325824,8702.283598810229,809.6684989577374
10,Pago Pago Harbor,13781.441540491078,4093.477839175038,334.02739726039226,9114.104550549227,75266.70653630022,130950.0616273518,38374.834981868145
11,Fagaitua,6080.84351666972,1295.54611478016,29.227397260273968,5389.469449241949,27300.386276348312,43207.65475240505,5893.850805877479
12,Auasi,1209.8889887081068,192.0866264256984,0.0,851.2061928170027,3349.4736420301283,5673.190908147492,456.33709669263345
13,Amouli,2775.176162259982,612.4601000172634,4.175342465758992,1665.5928227698564,7222.785756614062,12150.511054266259,1125.7001673388968
14,Alega,1338.6913451492462,113.32575128430739,0.0,1589.1840601608094,9170.854400450125,14534.64548586051,2796.9714490588467
15,Laulii - Aumi,3430.475283528737,279.31649041024065,16.701369863019263,2612.7135928687712,16664.654682744185,29170.9396996085,7077.908337878276
16,Fagasa,3716.472327613615,514.5204871822834,41.75342465764558,3244.811729144986,26506.799837138933,44445.42103987112,12851.16825505997
17,Aasu,9639.849754293477,556.0720984615238,12.526027397278156,10109.561864643472,66455.3979322562,107340.70616143792,24450.353132394073
18,Fagaalu,2769.3445963900745,538.9810298418115,45.928767123280714,2502.964708155512,17124.49210745613,31021.298392263696,9990.620295806164
19,Aoloau Sisifo,1545.955343758509,0.0,0.0,2193.3213122030256,10614.534733147777,17707.335177656892,3884.7525533085022
20,Aoloau Sasae,5507.248873104622,71.70454659136598,0.0,6987.943621441042,41920.72372676283,68648.41311217264,16078.527048115318
21,Fagamalo,2218.4916743980643,150.27753079562697,4.175342465760384,2738.2661322336485,14058.684274343372,22723.229660865556,4294.979950563836
22,Matuu - Faganeanea,2801.995779990051,344.9319942049447,29.22739726018351,3125.4595652491744,19087.759007923436,32519.48778761937,8141.74381239736
23,Nuuuli Pala,29169.805341536376,5785.7510601735685,597.0739726033117,13585.812846494706,116354.29625084616,207183.46462641112,56788.638034684765
24,Maloata,2989.1068014867583,309.0170891306289,0.0,4013.026038018774,22188.813660281703,35667.57075157704,7975.5860778995275
25,Fagalii,2513.521373711496,535.7520979712133,8.350684931505317,2622.2681639001266,12266.50897446935,19938.582514628593,3564.462020653804
26,Afao - Asili,3358.158358686568,152.2121071550064,4.175342465756138,3786.5902496476288,21592.64436578443,34615.203480122254,6608.20318501688
27,Leone,31572.861096414417,4640.3433241153025,66.80547945204678,10971.575210190338,92976.01809194597,159209.9765642048,30331.00292230399
28,Poloa,1430.5627927925825,451.61198931857626,8.350684931486668,1295.497430866338,5579.892858394264,9164.236478479226,1429.2545251249555
29,Nua - Seetaga,4003.2835649686604,186.9439983723666,4.175342465751753,4323.351395648174,19979.305984590774,33105.64320613782,5260.291286963791
30,Tafuna Plain,43029.158767840665,8198.291751246907,463.46301369815137,2871.062905276235,67172.92352134053,134912.71237060137,30452.79759686913
31,Amanave,1523.498957387625,203.53402417528767,12.526027397239396,1288.0166076262683,5287.270964476383,8947.54315325839,1118.9221921785927
32,Fagatele - Larsen,6402.066515769266,377.8615268711251,4.175342465760731,3139.32865206928,14336.629836735137,27476.75269996836,4201.716712729113
