OID,SHED_NAME,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
0,Fagatuitui - Vaaogeoge,1,2040,5100000.000000000000000,0.000000000000000,19.299999237100000,19.299999237100000,14.719053915400000,3.767513693860000,30026.869987499998388
1,Vatia,2,1949,4872500.000000000000000,0.000000000000000,18.030000686600001,18.030000686600001,13.080713177400000,5.724357152050000,25494.309982800001308
2,Tula,3,651,1627500.000000000000000,0.000000000000000,16.829999923700001,16.829999923700001,8.456835663260000,7.838532870010000,5505.400016780000442
3,Onenoa,4,359,897500.000000000000000,0.000000000000000,17.010000228900001,17.010000228900001,11.058300825900000,5.821803022860000,3969.929996490000121
4,Afono,5,1347,3367500.000000000000000,0.000000000000000,16.379999160800001,16.379999160800001,10.286184129000000,5.207921359520000,13855.490021699999488
5,Masefau,6,1443,3607500.000000000000000,0.000000000000000,18.309999465899999,18.309999465899999,11.011489925999999,6.083720741780000,15889.579963199999838
6,Aoa,7,877,2192500.000000000000000,0.000000000000000,14.510000228899999,14.510000228899999,9.437206459700000,4.726108577520000,8276.430065160000595
7,Masausi,8,617,1542500.000000000000000,0.000000000000000,17.760000228900001,17.760000228900001,12.237147473400000,6.210873389890000,7550.319991110000046
8,Sailele,9,263,657500.000000000000000,0.000000000000000,16.780000686600001,16.780000686600001,9.673041891240000,5.158370910630000,2544.010017399999924
9,Alao,10,540,1350000.000000000000000,0.000000000000000,16.420000076299999,16.420000076299999,9.569500015399999,5.815323119220000,5167.530008319999979
10,Pago Pago Harbor,11,4176,10440000.000000000000000,0.000000000000000,19.299999237100000,19.299999237100000,8.864286418390000,6.733813199750000,37017.260083200002555
11,Fagaitua,12,1949,4872500.000000000000000,0.000000000000000,18.309999465899999,18.309999465899999,11.947080558100000,5.858784023420000,23284.860007800001767
12,Auasi,13,377,942500.000000000000000,0.000000000000000,14.359999656699999,14.359999656699999,9.491140588210000,4.912564732050000,3578.160001749999992
13,Amouli,14,787,1967500.000000000000000,0.000000000000000,18.239999771099999,18.239999771099999,8.990000005600001,5.413694776270000,7075.130004409999856
14,Alega,15,513,1282500.000000000000000,0.000000000000000,15.300000190700001,15.300000190700001,12.350194884600000,3.506469695270000,6335.649975780000204
15,Laulii - Aumi,16,1083,2707500.000000000000000,0.000000000000000,16.430000305200000,16.430000305200000,10.042677758300000,5.262651235230000,10876.220012199999474
16,Fagasa,17,1393,3482500.000000000000000,0.000000000000000,16.100000381499999,16.100000381499999,10.083610913899999,5.064955882410000,14046.470003099999303
17,Aasu,18,3370,8425000.000000000000000,0.000000000000000,23.219999313399999,23.219999313399999,13.916685439300000,6.135824139200000,46899.229930399997102
18,Fagaalu,19,991,2477500.000000000000000,0.000000000000000,18.420000076299999,18.420000076299999,10.714843566200001,6.524843279170000,10618.409974100000909
19,Aoloau Sisifo,20,632,1580000.000000000000000,0.000000000000000,18.049999237100000,18.049999237100000,15.825094834200000,3.515037263310000,10001.459935200000473
20,Aoloau Sasae,21,2114,5285000.000000000000000,0.000000000000000,19.379999160800001,19.379999160800001,15.204271541200001,4.078396206290000,32141.830038100000820
21,Fagamalo,22,848,2120000.000000000000000,0.000000000000000,18.510000228900001,18.510000228900001,14.902252426700000,3.928103792450000,12637.110057800000504
22,Matuu - Faganeanea,23,1036,2590000.000000000000000,0.000000000000000,18.420000076299999,18.420000076299999,12.844864883900000,5.428126033630000,13307.280019800000446
23,Nuuuli Pala,24,7034,17585000.000000000000000,0.000000000000000,22.940000534100001,22.940000534100001,8.332092720910000,7.625632714600000,58607.940198900003452
24,Maloata,25,1118,2795000.000000000000000,0.000000000000000,20.270000457799998,20.270000457799998,16.663273690200000,3.727716689670000,18629.539985700001125
25,Fagalii,26,823,2057500.000000000000000,0.000000000000000,21.000000000000000,21.000000000000000,15.351445926900000,6.439969393110000,12634.239997900000162
26,Afao - Asili,27,1105,2762500.000000000000000,0.000000000000000,19.520000457799998,19.520000457799998,16.069891431199999,5.432927316280000,17757.230031499999313
27,Leone,28,5866,14665000.000000000000000,0.000000000000000,21.100000381499999,21.100000381499999,8.760838715480000,9.013195782220000,51391.079904999998689
28,Poloa,29,425,1062500.000000000000000,0.000000000000000,20.930000305200000,20.930000305200000,15.652399916900000,7.495741641750000,6652.269964690000052
29,Nua - Seetaga,30,1238,3095000.000000000000000,0.000000000000000,21.110000610400000,21.110000610400000,16.184563803600000,6.768238633530000,20036.489988799999992
30,Tafuna Plain,31,5671,14177500.000000000000000,0.000000000000000,21.260000228900001,21.260000228900001,2.107623003580000,5.827228512370000,11952.330053300000145
31,Amanave,32,404,1010000.000000000000000,0.000000000000000,21.020000457799998,21.020000457799998,15.044826734200001,8.281613570639999,6078.110000609999588
32,Fagatele - Larsen,33,1260,3150000.000000000000000,0.000000000000000,20.459999084500001,20.459999084500001,11.479000044599999,9.288237110310000,14463.540056199999526
