OID,SHED_NAME,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
0,Fagatuitui - Vaaogeoge,1,2040,5100000.000000000000000,0.000000000000000,222.710006714000002,222.710006714000002,45.375838140399999,19.785159222200001,92566.709806400001980
1,Vatia,2,1949,4872500.000000000000000,0.000000000000000,203.940002440999990,203.940002440999990,40.498219633399998,18.226015624500000,78931.030065500002820
2,Tula,3,651,1627500.000000000000000,0.000000000000000,139.059997559000010,139.059997559000010,20.842196540000000,14.981059562400000,13568.269947500000853
3,Onenoa,4,359,897500.000000000000000,0.000000000000000,139.119995117000002,139.119995117000002,21.354261855200001,14.377933302900001,7666.180006030000186
4,Afono,5,1347,3367500.000000000000000,0.000000000000000,213.889999390000014,213.889999390000014,43.641662924800002,21.393163841000000,58785.319959599997674
5,Masefau,6,1443,3607500.000000000000000,0.000000000000000,196.880004882999998,196.880004882999998,39.371878045700001,22.934681137700000,56813.620019900001353
6,Aoa,7,877,2192500.000000000000000,0.000000000000000,124.900001525999997,124.900001525999997,22.731756005499999,12.692138339100000,19935.750016800000594
7,Masausi,8,617,1542500.000000000000000,0.000000000000000,154.110000609999986,154.110000609999986,29.935234994100000,14.450650953200000,18470.039991400000872
8,Sailele,9,263,657500.000000000000000,0.000000000000000,144.970001220999990,144.970001220999990,21.837870674000001,14.773682960400000,5743.359987259999798
9,Alao,10,540,1350000.000000000000000,0.000000000000000,137.470001220999990,137.470001220999990,22.885944397799999,11.670375781000001,12358.409974800000782
10,Pago Pago Harbor,11,4176,10440000.000000000000000,0.000000000000000,227.899993896000012,227.899993896000012,42.846970807100000,18.028802447200000,178928.950089999998454
11,Fagaitua,12,1949,4872500.000000000000000,0.000000000000000,151.839996337999992,151.839996337999992,31.766947137599999,13.212521177899999,61913.779971099997056
12,Auasi,13,377,942500.000000000000000,0.000000000000000,118.500000000000000,118.500000000000000,16.601220119299999,11.062307857900000,6258.659984980000445
13,Amouli,14,787,1967500.000000000000000,0.000000000000000,121.110000610000000,121.110000610000000,19.302553976999999,10.803935116500000,15191.109979900000326
14,Alega,15,513,1282500.000000000000000,0.000000000000000,214.639999390000014,214.639999390000014,42.616861588799999,19.036349578599999,21862.449994999999035
15,Laulii - Aumi,16,1083,2707500.000000000000000,0.000000000000000,155.410003662000008,155.410003662000008,40.058651814900003,11.571186522700000,43383.519915600001696
16,Fagasa,17,1393,3482500.000000000000000,0.000000000000000,231.669998168999996,231.669998168999996,53.568736660299997,22.634969916399999,74621.250167799997143
17,Aasu,18,3370,8425000.000000000000000,0.000000000000000,345.829986571999996,345.829986571999996,62.944632030199998,26.990196965999999,212123.409941999998409
18,Fagaalu,19,991,2477500.000000000000000,0.000000000000000,231.080001831000004,231.080001831000004,58.421352132400003,22.725001324000001,57895.559963200001221
19,Aoloau Sisifo,20,632,1580000.000000000000000,0.000000000000000,197.869995117000002,197.869995117000002,49.281218308400000,26.663505937000000,31145.729970899999898
20,Aoloau Sasae,21,2114,5285000.000000000000000,0.000000000000000,237.759994506999988,237.759994506999988,60.866140045300000,27.379214739599998,128671.020055999993929
21,Fagamalo,22,848,2120000.000000000000000,0.000000000000000,185.759994506999988,185.759994506999988,41.478301864700001,18.030466968799999,35173.599981300001673
22,Matuu - Faganeanea,23,1036,2590000.000000000000000,0.000000000000000,206.410003662000008,206.410003662000008,55.991235548900001,22.227471116299998,58006.920028699998511
23,Nuuuli Pala,24,7034,17585000.000000000000000,0.000000000000000,354.640014647999976,354.640014647999976,49.625183350000000,24.665632403099998,349063.539684000017587
24,Maloata,25,1118,2795000.000000000000000,0.000000000000000,205.820007323999988,205.820007323999988,57.794212883000000,23.447839566900001,64613.930003200002830
25,Fagalii,26,823,2057500.000000000000000,0.000000000000000,168.350006103999988,168.350006103999988,47.585953827200001,20.168726070600002,39163.239999799996440
26,Afao - Asili,27,1105,2762500.000000000000000,0.000000000000000,286.250000000000000,286.250000000000000,62.774588470099999,22.664853964900001,69365.920259499995154
27,Leone,28,5866,14665000.000000000000000,0.000000000000000,306.640014647999976,306.640014647999976,50.608851127699999,26.157100934300001,296871.520714999991469
28,Poloa,29,425,1062500.000000000000000,0.000000000000000,216.800003051999994,216.800003051999994,46.733529389300003,22.988496871700001,19861.749990500000422
29,Nua - Seetaga,30,1238,3095000.000000000000000,0.000000000000000,238.449996948000006,238.449996948000006,55.071769056500003,19.026351812300000,68178.850091900007101
30,Tafuna Plain,31,5671,14177500.000000000000000,0.000000000000000,158.839996337999992,158.839996337999992,31.782807234000000,16.350917858500001,180240.299823999986984
31,Amanave,32,404,1010000.000000000000000,16.120000839199999,134.610000609999986,118.489999771000001,43.159975165200002,12.451887686399999,17436.629966699998477
32,Fagatele - Larsen,33,1260,3150000.000000000000000,0.000000000000000,194.509994506999988,194.509994506999988,37.045214203400000,17.194561586900001,46676.969896299997345
