OID,SHED_NAME,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
0,Fagatuitui - Vaaogeoge,1,2040,5100000.000000000000000,0.000000000000000,53.630001068100000,53.630001068100000,13.373897070000000,4.677617042000000,27282.750022899999749
1,Vatia,2,1949,4872500.000000000000000,0.000000000000000,52.599998474099998,52.599998474099998,14.576167268900001,7.707991990700000,28408.950006999999459
2,Tula,3,651,1627500.000000000000000,0.000000000000000,49.779998779300001,49.779998779300001,15.853763287300000,12.187350175500001,10320.799900100000741
3,Onenoa,4,359,897500.000000000000000,0.000000000000000,41.029998779300001,41.029998779300001,14.487186640399999,6.203671308910000,5200.900003910000123
4,Afono,5,1347,3367500.000000000000000,0.000000000000000,52.869998931900000,52.869998931900000,16.030898303800001,9.357793228700000,21593.620015299999068
5,Masefau,6,1443,3607500.000000000000000,0.000000000000000,54.119998931900000,54.119998931900000,15.823090742600000,9.028044335930000,22832.719941499999550
6,Aoa,7,877,2192500.000000000000000,0.000000000000000,46.169998168900001,46.169998168900001,15.604241749000000,8.207804596500001,13684.920013900000413
7,Masausi,8,617,1542500.000000000000000,0.000000000000000,52.069999694800003,52.069999694800003,15.424537935200000,6.653969067410000,9516.939905999999610
8,Sailele,9,263,657500.000000000000000,0.000000000000000,52.080001831099999,52.080001831099999,13.979543897999999,7.267896737050000,3676.620045189999928
9,Alao,10,540,1350000.000000000000000,0.000000000000000,48.369998931900000,48.369998931900000,16.028499922900000,9.402739553280000,8655.389958379999371
10,Pago Pago Harbor,11,4176,10440000.000000000000000,0.000000000000000,55.729999542199998,55.729999542199998,18.433589596899999,12.449214459100000,76978.670156699998188
11,Fagaitua,12,1949,4872500.000000000000000,0.000000000000000,54.090000152599998,54.090000152599998,13.619461240200000,6.237471178810000,26544.329957199999626
12,Auasi,13,377,942500.000000000000000,0.000000000000000,35.040000915500002,35.040000915500002,11.830503898800000,5.293408489770000,4460.099969859999874
13,Amouli,14,787,1967500.000000000000000,0.000000000000000,45.099998474099998,45.099998474099998,13.052973221900000,6.282991003570000,10272.689925700000458
14,Alega,15,513,1282500.000000000000000,0.000000000000000,45.229999542199998,45.229999542199998,12.254736970700000,3.409793393940000,6286.680065990000003
15,Laulii - Aumi,16,1083,2707500.000000000000000,0.000000000000000,47.200000762899997,47.200000762899997,14.865327960900000,9.708610679030000,16099.150181700000758
16,Fagasa,17,1393,3482500.000000000000000,0.000000000000000,50.080001831099999,50.080001831099999,15.797164405100000,8.191652995180000,22005.450016300001153
17,Aasu,18,3370,8425000.000000000000000,0.000000000000000,58.810001373299997,58.810001373299997,15.719967295600000,8.034870687310001,52976.289786300003470
18,Fagaalu,19,991,2477500.000000000000000,0.000000000000000,50.279998779300001,50.279998779300001,15.847417020000000,10.005996920299999,15704.790266800000609
19,Aoloau Sisifo,20,632,1580000.000000000000000,0.000000000000000,52.869998931900000,52.869998931900000,12.877895571000000,3.618356665230000,8138.830000879999716
20,Aoloau Sasae,21,2114,5285000.000000000000000,0.000000000000000,56.419998168900001,56.419998168900001,13.847895076900000,5.098352409140000,29274.450192600001174
21,Fagamalo,22,848,2120000.000000000000000,0.000000000000000,55.569999694800003,55.569999694800003,13.807759396300000,4.620750240400000,11708.979968100000406
22,Matuu - Faganeanea,23,1036,2590000.000000000000000,0.000000000000000,48.369998931900000,48.369998931900000,11.826563602100000,5.985636831590000,12252.319891799999823
23,Nuuuli Pala,24,7034,17585000.000000000000000,0.000000000000000,55.090000152599998,55.090000152599998,22.302959945700000,14.861285988400001,156879.020258000004105
24,Maloata,25,1118,2795000.000000000000000,0.000000000000000,56.259998321499999,56.259998321499999,13.746055412800001,3.899412207630000,15368.089951500000097
25,Fagalii,26,823,2057500.000000000000000,0.000000000000000,55.849998474099998,55.849998474099998,15.478882321200000,7.280944937870000,12739.120150299999295
26,Afao - Asili,27,1105,2762500.000000000000000,0.000000000000000,54.580001831099999,54.580001831099999,14.133656261000000,5.176358914410000,15617.690168400000402
27,Leone,28,5866,14665000.000000000000000,0.000000000000000,56.919998168900001,56.919998168900001,26.975750144900001,16.311813172200001,158239.750349999987520
28,Poloa,29,425,1062500.000000000000000,0.000000000000000,53.889999389600000,53.889999389600000,15.191388213200000,7.567004653190000,6456.339990620000208
29,Nua - Seetaga,30,1238,3095000.000000000000000,0.000000000000000,50.709999084499998,50.709999084499998,13.824636586500000,5.827418723100000,17114.900094000000536
30,Tafuna Plain,31,5671,14177500.000000000000000,0.000000000000000,54.950000762899997,54.950000762899997,36.410024624300000,15.041471335900001,206481.249643999995897
31,Amanave,32,404,1010000.000000000000000,8.920000076290000,54.029998779300001,45.109998703000002,17.409900955600001,9.578850444330000,7033.599986080000235
32,Fagatele - Larsen,33,1260,3150000.000000000000000,0.000000000000000,54.439998626700003,54.439998626700003,18.244531873700002,11.978063991699999,22988.110160799998994
