,SHED_NAME,actual_et,direct_net_infiltation,direct_soil_moisture,interception,net_infiltration,rainfall,runoff
0,Fagatuitui - Vaaogeoge,4782.030160471265,0.0,0.0,6861.4220371112215,30700.993950109358,54210.08237488356,13919.28529547556
1,Vatia,5895.141701067752,676.9100142009329,75.15616438353605,5615.865147978627,30363.443573649572,52189.08615001705,12041.614590960666
2,Tula,2613.746967195751,641.2960818591056,72.02465753426587,1096.2605215701385,7295.255802163884,12253.281845345013,1950.3877105995834
3,Onenoa,1071.9391444985004,183.4923874243732,13.569863013694105,930.4228820848286,4230.724911435854,7016.036707296783,1125.7975863666322
4,Afono,4355.858185312059,440.23941946084426,67.8493150685782,3081.5314850420723,22017.870028232224,37088.76863223814,8760.075537734767
5,Masefau,5007.863994960466,944.766937252735,54.27945205474023,3447.7559762455962,21426.3387296109,36413.30087027574,8232.50881632163
6,Aoa,2867.9522679085608,490.5418587058068,54.27945205484027,1872.3696919151946,9958.11525170542,16736.747283101824,2825.5029720439297
7,Masausi,2409.4857617172356,502.53205232501637,28.183561643850574,1419.9522105064598,8533.436133887975,14124.124130233593,2513.3578236136514
8,Sailele,789.738184904694,229.3411284706665,18.789041095904153,570.287411574889,2940.584106455298,4829.801371465686,787.6470456700476
9,Alao,1957.9485478537235,632.4547925822917,60.54246575338289,1165.4633379678658,6687.899996576622,10861.06600033422,1782.9738792704218
10,Pago Pago Harbor,16782.27234272212,5988.081439724122,846.550684933344,7976.643839780646,69411.9074170947,117480.06544944367,27195.115429498703
11,Fagaitua,5988.584128362239,1846.6931197559227,187.89041095900967,5074.257180508264,29627.255938444778,47608.1615765468,8921.384670104306
12,Auasi,1000.3076661208656,313.48645791480413,29.22739726026962,777.6540585309475,4454.525010952114,6883.2503542500435,936.527570499521
13,Amouli,2584.0620644102028,866.7871967769537,72.02465753422483,1473.9446066819798,9615.744132887017,15028.924190521746,2220.097440275795
14,Alega,1227.4184749253643,249.8124851458266,10.438356164340242,1440.8080351965832,8073.981510835077,13631.139779431076,3266.132058528208
15,Laulii - Aumi,3158.375170041735,817.9095915818584,90.81369863017561,2467.707432219845,17148.82045280593,28261.335791048834,6418.8688238217965
16,Fagasa,4515.11272167039,683.4983558175016,87.68219178079026,3012.057264198168,23587.605627587513,41264.603363787595,11416.58847990457
17,Aasu,10177.108476071217,748.4492883477675,91.85753424686763,10268.471930240648,67433.9867121306,118392.69863312734,34621.58312927502
18,Fagaalu,3283.5902417607354,728.8530153096639,122.12876712334786,2302.2264365129495,16457.88649204157,30242.897481905857,9064.56407036069
19,Aoloau Sisifo,1507.9788833925707,0.0,0.0,2203.3908549245016,10195.763553862638,17917.711728037357,4695.31353256124
20,Aoloau Sasae,5890.138217659926,101.90445354787681,15.657534246569428,6591.917581372167,40593.239626716364,71398.04307169761,20838.393089250385
21,Fagamalo,2228.9300440936195,198.32181303743977,8.350684931506015,2734.4387343133917,13526.401245832132,22912.214283888592,5174.559344651518
22,Matuu - Faganeanea,2489.2452246648572,653.7125074923183,81.41917808211035,2879.347487569268,18397.430549775312,32076.059844360232,8969.061851102531
23,Nuuuli Pala,32377.032053817547,21140.55397379271,1697.2767123236833,12068.542067368231,138002.23628570331,216280.58864668926,52053.64830332356
24,Maloata,3326.8641953987362,288.58750118818443,11.482191780812698,3740.123914624807,21450.670558105583,37577.75859197083,10332.481637183211
25,Fagalii,2953.898218309628,604.2051236518415,41.753424657514415,2627.6682945661573,14542.989160535195,25246.45029581544,6461.1998119258915
26,Afao - Asili,3649.367638722855,249.53412791968307,39.66575342466537,3515.0416327453577,22921.54619146003,40632.011403956036,11308.09214730835
27,Leone,33951.90167888987,13407.87727872036,926.9260273972147,9741.04788490979,128141.13154323223,201997.59768138741,46084.81175551067
28,Poloa,1534.2261059782397,483.6960382150941,28.18356164381822,1429.1483936033699,7753.891042281541,13094.992697426953,3318.1585778502804
29,Nua - Seetaga,3703.549645137732,568.5094224807164,62.63013698634521,4451.221253023873,24042.11599672027,42291.128504331005,11049.351400182026
30,Tafuna Plain,43562.03861895793,14164.08051258983,2081.408219173437,1283.1418902351993,102763.35672612338,163157.18316492788,26246.360996612337
31,Amanave,1570.3532678347522,320.05044513190313,40.709589041090325,1372.2054255758312,7380.288385942257,12925.192060546393,2908.941960987814
32,Fagatele - Larsen,6201.778845662286,436.5390234466282,40.70958904103326,2298.136334107734,18289.558795028548,32388.327674626184,6287.498586775651
