,actual_et,direct_net_infiltation,direct_soil_moisture,interception,net_infiltration,rainfall,runoff
JAN,237.83060445922825,41.95848374134169,1.3883933691769803,122.71046310984232,477.6661165310101,868.5261673986929,35.04695773649081
FEB,227.57085756438582,41.95848374134169,1.3883933691769803,114.6205696878946,411.95415572192036,748.2434701871542,33.22494175473476
MAR,213.03981752575194,41.95848374134169,1.3883933691769803,116.69505491611237,550.037544073057,911.3274818530775,52.37925715561122
APR,182.67785003215783,41.958483741341674,1.3883933691769803,119.2915588303897,554.2400713783703,908.9436846466934,80.41230335434958
MAY,149.9655176338006,41.95848374134169,1.3883933691769803,115.81498594383949,748.4026939058808,1098.109319255943,124.17971446502033
JUN,130.29726504014042,41.958483741341674,1.3883933691769803,118.24759496550959,821.1505788803322,1252.8295320134619,212.46637795851862
JUL,130.07654320893735,41.95848374134169,1.3883933691769803,89.12475243704712,503.0981015907109,759.4620799715461,76.48785037476793
AUG,150.12941438133194,41.95848374134169,1.3883933691769803,102.58498723476818,587.4734465066629,897.8670212805436,97.37266875215562
SEP,173.0966633542276,41.958483741341674,1.3883933691769803,107.35298078881834,584.57074948774,944.4038585336086,107.41568239741721
OCT,199.58348642320306,41.95848374134169,1.3883933691769803,125.60412824939912,660.8379221723851,1100.6778962179883,148.28065884146397
NOV,217.28098523295085,41.958483741341674,1.3883933691769803,112.31145978979119,642.6044625168263,1060.503251605075,140.0953403849352
DEC,221.72400972267704,41.95848374134169,1.3883933691769803,111.56023943660873,531.941065560026,898.7158344587784,61.13457994527853
