,SHED_NAME,actual_et,direct_net_infiltation,direct_soil_moisture,interception,net_infiltration,rainfall,runoff
0,Fagatuitui - Vaaogeoge,0.14654302258882546,0.0,0.0,0.16999421526408895,0.5856034717472569,1.0,0.11345084306506123
1,Vatia,0.18060212759396774,0.020362213394966223,0.0013479925167867444,0.14977499948888623,0.5889797738544267,1.0,0.10494447489358855
2,Tula,0.3619073644500956,0.08413710905937744,0.008325621834379278,0.13727203935864538,0.5168029284664774,1.0,0.06487381971781053
3,Onenoa,0.29710523289219976,0.04183161876585956,0.002507164265114704,0.1719338031659706,0.525582276560491,1.0,0.0469972118611425
4,Afono,0.1845048799989786,0.018829101288290587,0.0023236046613900785,0.1139666437203831,0.6166323562592734,1.0,0.10775835173384725
5,Masefau,0.2075496605328198,0.0419687685244262,0.0013041053859705392,0.13294517234277045,0.6095269433859182,1.0,0.09722451806130356
6,Aoa,0.30147199252724377,0.04498964024319037,0.00325785958773322,0.14868713518035542,0.5420251626043616,1.0,0.05303883024777187
7,Masausi,0.24170490460390165,0.058413744296377836,0.00249050439975701,0.16203927259788134,0.597142636415491,1.0,0.06129982247202897
8,Sailele,0.2694822079735018,0.07753067789169672,0.005098346487443119,0.15852762141795615,0.5939616140152003,1.0,0.043715286327403735
9,Alao,0.34664750741338024,0.09207569761935355,0.00809684455858279,0.143609143989182,0.5448973961080187,1.0,0.05942409117698138
10,Pago Pago Harbor,0.21401422617660665,0.08108956953337866,0.009222615077686418,0.09596702400137515,0.6306080089455123,1.0,0.11182954788559937
11,Fagaitua,0.23813594227209742,0.06199278320295248,0.004470455719376055,0.14807442477314944,0.6038457594858225,1.0,0.068442676808558
12,Auasi,0.32546688330642204,0.07282246870517417,0.006387748976371309,0.15605270834562374,0.5470165862782258,1.0,0.037783535328283886
13,Amouli,0.3387440519697015,0.09369745200336724,0.006670912341806863,0.14215148500157723,0.5657290626794975,1.0,0.04071733739031296
14,Alega,0.17079370207338732,0.030040049381556386,0.0009032596023922261,0.14113495813595153,0.6202247113111233,1.0,0.09973491438986788
15,Laulii - Aumi,0.22279763196355343,0.0444195654714389,0.004729678638186669,0.11691412975278394,0.6062300862947131,1.0,0.09701307314450493
16,Fagasa,0.16035699278383483,0.02553209490285819,0.003196564199201421,0.10333746168535662,0.6144834211875214,1.0,0.15316863027074012
17,Aasu,0.14409306348011372,0.010086902017283631,0.0011587253133320877,0.12099189359770245,0.6134055609387875,1.0,0.14434538348263184
18,Fagaalu,0.17778287400528867,0.03871134203295282,0.005932089278243393,0.10621279837379562,0.6043899462219343,1.0,0.14113361143693984
19,Aoloau Sisifo,0.15561082403038312,0.0,0.0,0.1697409338753962,0.5940144162340654,1.0,0.09561343960744988
20,Aoloau Sasae,0.13484611186829454,0.002212908053513618,0.0003941503793065665,0.13741276984598186,0.6144638543020886,1.0,0.13092530137063926
21,Fagamalo,0.17538356704906827,0.014345112677524013,0.0005373419998567111,0.16641903878617875,0.6049348901573941,1.0,0.07496982776379367
22,Matuu - Faganeanea,0.15978688627563342,0.03192076756869468,0.003947954690893333,0.12551023191473282,0.6150752564087172,1.0,0.12454243479465178
23,Nuuuli Pala,0.24865435720526832,0.052481556971917406,0.010791548583716332,0.08197078417952915,0.5774133819580152,1.0,0.12623879550126638
24,Maloata,0.14102962681496387,0.012841364511767662,0.0002808458437626666,0.15066692999717735,0.6096937026415077,1.0,0.12097785788386223
25,Fagalii,0.19354641299940106,0.03965601066450621,0.0023687915856758,0.15298724277642187,0.5923993596482099,1.0,0.11117505327236143
26,Afao - Asili,0.1415983936744756,0.009464490977777533,0.0012986799485842227,0.13303771144110133,0.6031778184976379,1.0,0.1337083352222972
27,Leone,0.27171736016023107,0.0479847547449099,0.0063650651361043765,0.0775384225793037,0.5975403424722038,1.0,0.10523915400908021
28,Poloa,0.20358616354869624,0.06035659366392901,0.003626728194946791,0.15648548565649123,0.6052854888528294,1.0,0.10487535228056181
29,Nua - Seetaga,0.17196074851494095,0.020887371958947448,0.0022458794214675797,0.145457430534345,0.5889960886319774,1.0,0.11469830983227246
30,Tafuna Plain,0.45506412952088265,0.0944696980986032,0.018832766100509785,0.022374375360623016,0.5359094823841014,1.0,0.06441436655399331
31,Amanave,0.22109365483022855,0.03886580474242767,0.0044904822224972425,0.1454929838792745,0.575501334525342,1.0,0.0888577981851804
32,Fagatele - Larsen,0.3270889099686782,0.022032850290958778,0.0013032851363441074,0.13557152099440478,0.47356241128366505,1.0,0.09059542281197394
