,actual_et,direct_net_infiltation,direct_soil_moisture,interception,net_infiltration,rainfall,runoff
JAN,70.98635094825705,13.318582905979017,1.5618934077125595,29.374309616110402,125.06832504298825,229.4404482998388,9.671891937150503
FEB,67.97216872613356,13.318582905979019,1.5618934077125595,27.57155816587955,107.28752103325763,197.66510633911628,9.167859563953431
MAR,63.509871072436894,13.318582905979017,1.5618934077125595,27.94994022775175,143.68828550590294,240.74736471163692,14.833996413787093
APR,54.591713816602756,13.318582905979019,1.5618934077125595,28.58618863727479,145.5959428684312,240.11763181443843,22.442159288626573
MAY,44.6312731883984,13.318582905979017,1.5618934077125595,27.800718346585963,197.07295882246686,290.08992929588686,35.36561268003263
JUN,38.99238234467111,13.318582905979019,1.5618934077125595,28.374846892939328,216.22589722446168,330.9627047039718,59.17095353633295
JUL,38.79383328120285,13.318582905979017,1.5618934077125595,21.446333261049933,133.42440047551784,200.62875090717944,21.2621611587563
AUG,44.678757000491125,13.318582905979017,1.5618934077125595,24.252763704738214,154.93737644287805,237.19148554067948,27.71948995752024
SEP,51.62960024610272,13.318582905979019,1.5618934077125595,25.803675224926657,153.73715107573176,249.48522314190762,29.700666254049096
OCT,59.494486847289885,13.318582905979017,1.5618934077125595,30.00688483556293,172.8044734464882,290.7684758633776,41.45615331530208
NOV,64.73420553107358,13.318582905979019,1.5618934077125595,26.857962075822584,167.64040789401705,280.1554525414883,39.09954149803937
DEC,65.97362131462651,13.318582905979017,1.5618934077125595,26.6650141591653,138.9252435361893,237.41571836571953,17.186107491999294
