,actual_et,direct_net_infiltation,direct_soil_moisture,interception,net_infiltration,rainfall,runoff
JAN,271181.57557502587,69075.46808054904,5912.410882730037,136073.5052560315,882383.4997091962,1463457.8018711165,213580.32006692726
FEB,264084.60911747854,69075.46808054904,5912.410882730037,126723.17236753773,762158.8008275301,1260818.9823164719,181570.10800369704
MAR,243487.6131980893,69075.46808054904,5912.410882730037,131034.2121429627,939647.7691653289,1535626.7710342642,288992.67787373497
APR,207949.3711895463,69075.46808054902,5912.410882730037,134211.80857480227,940930.2037991949,1531522.715361555,321050.2795453894
MAY,169482.48210856796,69075.46808054904,5912.410882730037,132503.70570153967,1116763.6066549162,1850225.5123022262,525426.6328734915
JUN,148960.37090213082,69075.46808054902,5912.410882730037,139876.2378383069,1192946.5919134668,2110978.721241132,724744.831074703
JUL,149031.38270693985,69075.46808054904,5912.410882730037,102013.90394721595,820930.3873834896,1279693.2375549306,288345.69773757894
AUG,169810.4018964142,69075.46808054904,5912.410882730037,115078.7179072723,920130.9516795791,1512920.6900763835,395738.94022147777
SEP,197598.55714933568,69075.46808054902,5912.410882730037,123300.54177777325,957536.4249987488,1591292.8920013723,388734.2368838545
OCT,227329.3223059868,69075.46808054904,5912.410882730037,142060.94961061204,1035852.1716958436,1854704.3155937162,536977.3501529429
NOV,248139.49763002287,69075.46808054902,5912.410882730037,128516.71830356425,1034848.443572652,1787014.5891335497,476843.8137181069
DEC,254768.30089901097,69075.46808054904,5912.410882730037,125122.663805209,898708.3214154806,1514309.1008608134,305228.04079065484
