,SHED_NAME,actual_et,direct_net_infiltation,direct_soil_moisture,interception,net_infiltration,rainfall,runoff
0,Fagatuitui - Vaaogeoge,0.14924886693665682,0.0,0.0,0.16999421526408895,0.5833591190917039,1.0,0.11345084306506123
1,Vatia,0.17961141036239367,0.020362213394966223,0.0013479925167867444,0.14977499948888623,0.5902283522237617,1.0,0.10494447489358855
2,Tula,0.3073888949693763,0.08413710905937744,0.008325621834379278,0.13727203935864538,0.56981991336162,1.0,0.06487381971781053
3,Onenoa,0.24367463709636633,0.04183161876585956,0.002507164265114704,0.1719338031659706,0.5784140773042262,1.0,0.0469972118611425
4,Afono,0.18869859076678835,0.018829101288290587,0.0023236046613900785,0.1139666437203831,0.6126326741370026,1.0,0.10775835173384725
5,Masefau,0.21440192884734646,0.0419687685244262,0.0013041053859705392,0.13294517234277045,0.6030779013933953,1.0,0.09722451806130356
6,Aoa,0.2684078691051439,0.04498964024319037,0.00325785958773322,0.14868713518035542,0.5750248278252031,1.0,0.05303883024777187
7,Masausi,0.23390506199201774,0.058413744296377836,0.00249050439975701,0.16203927259788134,0.605067214605123,1.0,0.06129982247202897
8,Sailele,0.2574312927256548,0.07753067789169672,0.005098346487443119,0.15852762141795615,0.6059815768250576,1.0,0.043715286327403735
9,Alao,0.28273614286786874,0.09207569761935355,0.00809684455858279,0.143609143989182,0.6074061182072291,1.0,0.05942409117698138
10,Pago Pago Harbor,0.2214712697002227,0.08108956953337866,0.009222615077686418,0.09596702400137515,0.6241434195273455,1.0,0.11182954788559937
11,Fagaitua,0.19536082454417417,0.06199278320295248,0.004470455719376055,0.14807442477314944,0.645596860576577,1.0,0.068442676808558
12,Auasi,0.21814120081008745,0.07282246870517417,0.006387748976371309,0.15605270834562374,0.6534926964024625,1.0,0.037783535328283886
13,Amouli,0.25437515255596377,0.09369745200336724,0.006670912341806863,0.14215148500157723,0.6494642269897908,1.0,0.04071733739031296
14,Alega,0.14885825906419237,0.030040049381556386,0.0009032596023922261,0.14113495813595153,0.6420175688500261,1.0,0.09973491438986788
15,Laulii - Aumi,0.18287105344272844,0.0444195654714389,0.004729678638186669,0.11691412975278394,0.6450729873163564,1.0,0.09701307314450493
16,Fagasa,0.1739117756603873,0.02553209490285819,0.003196564199201421,0.10333746168535662,0.6024713008086116,1.0,0.15316863027074012
17,Aasu,0.14023094340673703,0.010086902017283631,0.0011587253133320877,0.12099189359770245,0.6173824638260824,1.0,0.14434538348263184
18,Fagaalu,0.1774115361140609,0.03871134203295282,0.005932089278243393,0.10621279837379562,0.6053422806140195,1.0,0.14113361143693984
19,Aoloau Sisifo,0.13598817339817104,0.0,0.0,0.1697409338753962,0.6134962148065838,1.0,0.09561343960744988
20,Aoloau Sasae,0.12395746120078918,0.002212908053513618,0.0003941503793065665,0.13741276984598186,0.6254705057910962,1.0,0.13092530137063926
21,Fagamalo,0.15969791571310676,0.014345112677524013,0.0005373419998567111,0.16641903878617875,0.6204876159843056,1.0,0.07496982776379367
22,Matuu - Faganeanea,0.1269109322133049,0.03192076756869468,0.003947954690893333,0.12551023191473282,0.6461049942623741,1.0,0.12454243479465178
23,Nuuuli Pala,0.2331945764810998,0.08475831757476684,0.010791548583716332,0.08197078417952915,0.6241724499169173,1.0,0.12623879550126638
24,Maloata,0.12710139041158583,0.012841364511767662,0.0002808458437626666,0.15066692999717735,0.6236246735258801,1.0,0.12097785788386223
25,Fagalii,0.17433249506885762,0.03965601066450621,0.0023687915856758,0.15298724277642187,0.6115686917145094,1.0,0.11117505327236143
26,Afao - Asili,0.12953495640616175,0.009464490977777533,0.0012986799485842227,0.13303771144110133,0.6152222096548823,1.0,0.1337083352222972
27,Leone,0.2579721421000177,0.06367424901524603,0.0063650651361043765,0.0775384225793037,0.6269406588841484,1.0,0.10523915400908021
28,Poloa,0.17846883013984116,0.06035659366392901,0.003626728194946791,0.15648548565649123,0.6302201390151552,1.0,0.10487535228056181
29,Nua - Seetaga,0.13923773065221237,0.020887371958947448,0.0022458794214675797,0.145457430534345,0.6213902616064365,1.0,0.11469830983227246
30,Tafuna Plain,0.4125673888902533,0.10799650060895384,0.018832766100509785,0.022374375360623016,0.5898410834168826,1.0,0.06441436655399331
31,Amanave,0.1903803435189931,0.03886580474242767,0.0044904822224972425,0.1454929838792745,0.6058168523338346,1.0,0.0888577981851804
32,Fagatele - Larsen,0.26269476930177227,0.022032850290958778,0.0013032851363441074,0.13557152099440478,0.5371675231180644,1.0,0.09059542281197394
