,actual_et,direct_net_infiltation,direct_soil_moisture,interception,net_infiltration,rainfall,runoff
JAN,278.7732808632076,65.79916475023316,7.225695618549169,136.75289183598105,1013.3138981037729,1728.1839923086561,345.121835743875
FEB,261.3982866282379,65.79916475023316,7.225695618549169,138.96688397198122,1106.1581289555938,1869.1375023877313,443.7801552521937
MAR,244.56685513075402,65.79916475023316,7.225695618549169,125.85092856343539,980.8098639017934,1626.0797239209944,348.2171029555496
APR,224.88550245974625,65.79916475023316,7.225695618549169,127.53617006774952,973.5452666124087,1610.1949619644042,360.5709933102504
MAY,224.85486799843622,65.79916475023316,7.225695618549169,112.70146553486153,904.5288630206824,1463.215815688201,312.91187989096727
JUN,210.1042459512697,65.79916475023316,7.225695618549169,101.06734996693355,803.9659967093107,1318.3229680027237,270.94220050653666
JUL,200.6657059306835,65.79916475023316,7.225695618549169,87.2105453486877,650.226365318353,1042.1995685178313,179.1108628734994
AUG,235.29458202134924,65.79916475023316,7.225695618549169,89.6072011240153,618.4296147702975,1015.3547205585272,154.54928385947005
SEP,256.2576399450403,65.79916475023316,7.225695618549169,99.75779278677201,669.9190974900182,1164.1738142692027,197.71048747397722
OCT,267.03419929844074,65.79916475023316,7.225695618549169,124.86168973556204,899.7561424607246,1632.2646256419603,419.99076108111245
NOV,282.3059700072543,65.79916475023316,7.225695618549169,115.36417128204961,950.7058538360858,1655.3733541154775,405.1929004884698
DEC,271.32665976500834,65.79916475023316,7.225695618549169,126.81998044036999,1016.6500077443841,1787.195664739369,442.3185826023784
