,actual_et,direct_net_infiltation,direct_soil_moisture,interception,net_infiltration,rainfall,runoff
JAN,278773.46749646857,65799.20880148746,7225.700456011109,136752.98338936834,1013314.5764976154,1728185.1492940497,345122.0667961963
FEB,261398.46162927992,65799.20880148746,7225.700456011109,138966.97700759297,1106158.8695068336,1869138.753738744,443780.4523543309
MAR,244567.0188634818,65799.20880148746,7225.700456011109,125851.01281817144,980810.5205348206,1626080.8125495766,348217.3360800917
APR,224885.6530161932,65799.20880148746,7225.700456011109,127536.2554507218,973545.91838193,1610196.0399584488,360571.2347054806
MAY,224855.01853437402,65799.20880148746,7225.700456011109,112701.54098628917,904529.4685850708,1463216.795282581,312912.08937935287
JUN,210104.38661195443,65799.20880148746,7225.700456011109,101067.41762954829,803966.5349488264,1318323.850594175,270942.38189704245
JUL,200665.8402724502,65799.20880148746,7225.700456011109,87210.60373444269,650226.8006321915,1042200.2662500655,179110.98278472014
AUG,235294.73954647145,65799.20880148746,7225.700456011109,89607.26111428445,618430.0287968331,1015355.4003186604,154549.38732719386
SEP,256257.81150451992,65799.20880148746,7225.700456011109,99757.85957266383,669919.5459877559,1164174.5936608096,197710.61983728298
OCT,267034.3780726162,65799.20880148746,7225.700456011109,124861.77332802204,899756.7448298701,1632265.7184112133,419991.0422567154
NOV,282306.1590055816,65799.20880148746,7225.700456011109,115364.2485161067,950706.4903150669,1655374.4623555725,405193.17175719433
DEC,271326.84141290205,65799.20880148746,7225.700456011109,126820.06534386733,1016650.6883716867,1787196.8612319233,442318.87872602127
