,SHED_NAME,actual_et,direct_net_infiltation,direct_soil_moisture,interception,net_infiltration,rainfall,runoff
0,Fagatuitui - Vaaogeoge,4695.537945641802,0.0,0.0,7102.0626899447025,32754.5473679737,58064.79666143819,15884.744205012506
1,Vatia,5910.211181212184,676.9100142009329,75.15616438353605,5786.558407419205,32248.382806511643,55994.04602001467,14002.574623615536
2,Tula,3027.798303258718,641.2960818591056,72.02465753426587,956.4787517457139,5397.12247711087,9542.226762551772,776.4658228602004
3,Onenoa,1299.1786857642614,183.4923874243732,13.569863013694105,829.3552326840552,3318.11682181038,5764.730066900641,565.4161776415035
4,Afono,4248.524046539354,440.23941946084426,67.8493150685782,3103.300672712583,22764.074989765562,37883.22839156806,8902.393807924294
5,Masefau,4829.100197156018,944.766937252735,54.27945205474023,3358.6315628893226,21212.40114965674,34867.62036938838,7083.837326419283
6,Aoa,3198.5489287083615,490.5418587058068,54.27945205484027,1698.738081123902,8138.0677991466355,14034.10193310478,1648.1294534241674
7,Masausi,2481.5799961095377,502.53205232501637,28.183561643850574,1295.6870532327337,7253.28141463425,11863.511903018927,1465.099832973829
8,Sailele,819.927657579375,229.3411284706665,18.789041095904153,513.5479868591261,2442.996364141114,3988.261031645636,436.3998363107177
9,Alao,2384.4458766051616,632.4547925822917,60.54246575338289,1040.592767565526,5071.325731228134,8679.35397207595,864.0645056912491
10,Pago Pago Harbor,16155.466437099274,5988.081439724122,846.550684933344,8356.899237228534,76804.88358835706,130934.53659890387,33277.531643886556
11,Fagaitua,7318.138400389745,1846.6931197559227,187.89041095900967,4866.864425137681,26641.552014513716,43769.97061909537,6882.016923863039
12,Auasi,1489.8839746121234,313.48645791480413,29.22739726026962,695.8973701914391,3226.673341878978,5644.3827908006715,519.5674392782591
13,Amouli,3412.5822021757294,866.7871967769537,72.02465753422483,1312.0926702873408,7141.486630671246,12213.65611282514,1184.8525924924725
14,Alega,1409.4059861274836,249.8124851458266,10.438356164340242,1472.4119026611797,8324.289806678857,14153.774223805924,3335.541919004124
15,Laulii - Aumi,3864.67437641858,817.9095915818584,90.81369863017561,2520.8456163746473,17275.255007333853,29393.58106507154,6698.715895045233
16,Fagasa,4162.308440924435,683.4983558175016,87.68219178079026,3118.5963441113254,25577.302434194564,44699.492332160895,13132.111414438581
17,Aasu,10496.32383307696,748.4492883477675,91.85753424686763,10045.654758299743,63685.74710229603,110035.16954065565,29363.9083333261
18,Fagaalu,3282.9239026496634,728.8530153096639,122.12876712334786,2346.657285982342,17256.128482439683,31333.845394709228,9301.399962533604
19,Aoloau Sisifo,1724.4616734316116,0.0,0.0,2244.7754518848583,10250.437913189315,18589.32924975417,5093.047954832149
20,Aoloau Sasae,6435.427503727481,101.90445354787681,15.657534246569428,6525.460061067095,39047.54355162989,69254.30561836566,19520.44802074939
21,Fagamalo,2449.8700131967544,198.32181303743977,8.350684931506015,2770.0561499943296,13537.698942123125,23511.456065244736,5525.382042947515
22,Matuu - Faganeanea,3148.8797574065425,653.7125074923183,81.41917808211035,2885.6104949688374,18168.27552993623,32020.007204961035,8490.635453977402
23,Nuuuli Pala,34554.92723146972,18874.945537349085,1697.2767123236833,12227.854026664303,129687.24869798879,208620.17732218426,49065.110410281304
24,Maloata,3700.581670617292,288.58750118818443,11.482191780812698,3668.824714891558,20518.628012818997,35947.931057263915,9222.552107178512
25,Fagalii,3274.8898520426465,604.2051236518415,41.753424657514415,2413.4366666267606,12064.650297768743,20823.135719511254,4120.38625872713
26,Afao - Asili,4008.426192845447,249.53412791968307,39.66575342466537,3281.3390144842906,19722.99386858085,34238.201436057905,7791.563076157803
27,Leone,35446.15928886078,10850.502663564406,926.9260273972147,8947.049093579526,100837.46063097515,159404.7824254811,26528.00007823373
28,Poloa,1745.054807661596,483.6960382150941,28.18356164381822,1215.5483111267088,5603.937619622082,9426.87943214798,1524.3270641164347
29,Nua - Seetaga,4577.247012187226,568.5094224807164,62.63013698634521,3943.4161069610814,18748.829054005757,32817.54286100675,6324.476482936169
30,Tafuna Plain,48006.69932979119,13447.816241665541,2081.408219173437,1175.4598088674384,80854.3882030741,134203.43831963412,15113.897700296742
31,Amanave,1811.3070570869227,320.05044513190313,40.709589041090325,1133.0070132767812,5069.940903168397,8857.969894686536,1123.9360793830974
32,Fagatele - Larsen,7756.058760286832,436.5390234466282,40.70958904103326,2092.747754141842,14206.101686170914,27131.852033622003,3699.1864148544983
