OID,SHED_NAME,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
0,Fagatuitui - Vaaogeoge,1,2040,5100000.000000000000000,0.000000000000000,196.179992676000012,196.179992676000012,44.773196078700003,21.703144325899999,91337.320000599997002
1,Vatia,2,1949,4872500.000000000000000,0.000000000000000,354.070007324000017,354.070007324000017,40.606423800300000,21.788711140899998,79141.919986699998844
2,Tula,3,651,1627500.000000000000000,0.000000000000000,97.190002441399997,97.190002441399997,7.651612925710000,10.713737180100001,4981.200014639999608
3,Onenoa,4,359,897500.000000000000000,0.000000000000000,94.080001831100006,94.080001831100006,8.634206128150000,6.351439059750000,3099.680000010000185
4,Afono,5,1347,3367500.000000000000000,0.000000000000000,192.619995117000002,192.619995117000002,37.198337057600000,19.489027670999999,50106.160016499998164
5,Masefau,6,1443,3607500.000000000000000,0.000000000000000,158.210006714000002,158.210006714000002,27.738295283900001,20.453164554600001,40026.360094700001355
6,Aoa,7,877,2192500.000000000000000,0.000000000000000,92.639999389600007,92.639999389600007,10.672702399500000,6.745806706120000,9359.960004360000312
7,Masausi,8,617,1542500.000000000000000,0.000000000000000,109.230003357000001,109.230003357000001,13.489481334400001,7.792592510140000,8323.009983300000385
8,Sailele,9,263,657500.000000000000000,0.000000000000000,99.099998474100005,99.099998474100005,9.496349821750000,9.027062984440001,2497.540003120000165
9,Alao,10,540,1350000.000000000000000,0.000000000000000,95.519996643100001,95.519996643100001,9.584351830819999,9.734447036150000,5175.549988640000265
10,Pago Pago Harbor,11,4176,10440000.000000000000000,0.000000000000000,247.039993285999998,247.039993285999998,44.052624527100001,21.731510282900000,183963.760024999995949
11,Fagaitua,12,1949,4872500.000000000000000,0.000000000000000,130.979995728000006,130.979995728000006,19.732154961900001,12.966415022200000,38457.970020699998713
12,Auasi,13,377,942500.000000000000000,0.000000000000000,82.750000000000000,82.750000000000000,7.543872675620000,6.388145228020000,2844.039998709999963
13,Amouli,14,787,1967500.000000000000000,0.000000000000000,86.519996643100001,86.519996643100001,8.856696329069999,6.907809948910000,6970.220010979999643
14,Alega,15,513,1282500.000000000000000,0.000000000000000,188.250000000000000,188.250000000000000,36.655029239199997,15.904792878000000,18804.029999700000189
15,Laulii - Aumi,16,1083,2707500.000000000000000,0.000000000000000,132.009994506999988,132.009994506999988,34.988522576299999,12.471788356499999,37892.569950099998096
16,Fagasa,17,1393,3482500.000000000000000,0.000000000000000,229.869995117000002,229.869995117000002,54.005513291900002,24.381626164899998,75229.680015599995386
17,Aasu,18,3370,8425000.000000000000000,0.000000000000000,252.559997559000010,252.559997559000010,49.081029657700000,20.762080192300001,165403.069946000003256
18,Fagaalu,19,991,2477500.000000000000000,0.000000000000000,240.720001220999990,240.720001220999990,52.541695218999998,24.710495731999998,52068.819962000001397
19,Aoloau Sisifo,20,632,1580000.000000000000000,0.000000000000000,199.300003051999994,199.300003051999994,45.962579208100003,24.881648398300001,29048.350059500000498
20,Aoloau Sasae,21,2114,5285000.000000000000000,0.000000000000000,233.009994506999988,233.009994506999988,53.121111664099999,24.317230498800001,112298.030058000003919
21,Fagamalo,22,848,2120000.000000000000000,0.000000000000000,166.539993285999998,166.539993285999998,37.307370291600002,17.153077349400000,31636.650007200001710
22,Matuu - Faganeanea,23,1036,2590000.000000000000000,0.000000000000000,173.789993285999998,173.789993285999998,47.235945953799998,21.507873566899999,48936.440008199999284
23,Nuuuli Pala,24,7034,17585000.000000000000000,0.000000000000000,254.240005493000012,254.240005493000012,38.291225473899999,25.072254912999998,269340.479983999975957
24,Maloata,25,1118,2795000.000000000000000,0.000000000000000,221.570007323999988,221.570007323999988,47.764919487400000,20.931792084700000,53401.179987000003166
25,Fagalii,26,823,2057500.000000000000000,0.000000000000000,150.699996948000006,150.699996948000006,29.526986622700001,14.714457699000000,24300.709990499999549
26,Afao - Asili,27,1105,2762500.000000000000000,0.000000000000000,178.270004271999994,178.270004271999994,40.865619875199997,18.425464903999998,45156.509962099997210
27,Leone,28,5866,14665000.000000000000000,0.000000000000000,209.779998779000010,209.779998779000010,25.127129206900001,19.712892794900000,147395.739926999987802
28,Poloa,29,425,1062500.000000000000000,0.000000000000000,122.419998168999996,122.419998168999996,20.734258786900000,12.979609592699999,8812.059984449999320
29,Nua - Seetaga,30,1238,3095000.000000000000000,0.000000000000000,170.419998168999996,170.419998168999996,29.670218117499999,15.060583376500000,36731.730029500002274
30,Tafuna Plain,31,5671,14177500.000000000000000,0.000000000000000,113.410003661999994,113.410003661999994,13.352662674799999,9.878215227980000,75722.950028899998870
31,Amanave,32,404,1010000.000000000000000,0.540000021458000,61.259998321499999,60.719998300100002,15.522128693699999,6.755978659580000,6270.939992249999705
32,Fagatele - Larsen,33,1260,3150000.000000000000000,0.000000000000000,125.870002747000001,125.870002747000001,19.264365113299998,9.377128577900001,24273.100042800000665
