,SHED_NAME,actual_et,direct_net_infiltation,direct_soil_moisture,interception,net_infiltration,rainfall,runoff
0,Fagatuitui - Vaaogeoge,0.08145161221160484,0.0,0.0,0.12206252988354599,0.5640861100704436,1.0,0.2736630833380583
1,Vatia,0.09056373550297657,0.00876250258388648,0.0002796285562393869,0.11231939635409886,0.5803570137946696,1.0,0.24589267582125818
2,Tula,0.22465068665390728,0.054756129388357506,0.0015314767709716226,0.1467256844035635,0.5819613554293207,1.0,0.0908165727851403
3,Onenoa,0.19542338636356893,0.025306126531579456,0.0003621455312995141,0.1595079046046624,0.5855244388519556,1.0,0.09354460503841423
4,Afono,0.09804899579479424,0.008878918781419524,0.0004133104519162188,0.0883035944044052,0.6085848529193023,1.0,0.23010444044729556
5,Masefau,0.11203662222129566,0.02272979715358331,0.0001496855256221809,0.11098418331494199,0.6177568046986948,1.0,0.1997122249839671
6,Aoa,0.19479385128873822,0.0224051630882172,0.0003718925590723842,0.13507001375858943,0.5844740316995639,1.0,0.1160299826280555
7,Masausi,0.14718564524369793,0.03798196447900026,0.0002639612009424172,0.1493119995458241,0.6279682437315287,1.0,0.12205287281410071
8,Sailele,0.1713692468708092,0.050318762209423294,0.0015703620322127525,0.1441574899069998,0.6201145931386444,1.0,0.1089456109672261
9,Alao,0.21673608721928345,0.054780192653846406,0.0008418655741635698,0.141701610895566,0.5920956838868305,1.0,0.10374088959047102
10,Pago Pago Harbor,0.0989637952519983,0.03543393411242349,0.001761855024846625,0.0740279130930366,0.5897456931708378,1.0,0.24443248490966174
11,Fagaitua,0.12879740582330623,0.033421125421418965,0.00045311606180721027,0.1287569036473152,0.6195629611353968,1.0,0.15285898176217036
12,Auasi,0.20917060688298705,0.044118358909769416,0.00018493352685787604,0.14770579148012053,0.58790059991534,1.0,0.08765972458098645
13,Amouli,0.19995889144952608,0.06070510098107432,0.0005127877877655405,0.1472877514628051,0.6043637111434272,1.0,0.09928454721310204
14,Alega,0.08914203845582572,0.01571026941721814,0.0,0.1092524563874945,0.5946395812620934,1.0,0.23113171012316022
15,Laulii - Aumi,0.1143394023703065,0.017833008165765225,0.0003551236625875008,0.09188564346806272,0.5881782411704477,1.0,0.2242758037589152
16,Fagasa,0.07918077376463278,0.010042147335254012,0.00030357980159742364,0.07594013713228599,0.5723055668422201,1.0,0.2927975811970678
17,Aasu,0.08617392748678411,0.005348010903054483,0.00012332296183450132,0.09735214205309606,0.584316936590425,1.0,0.26151277541398
18,Fagaalu,0.08739337564993438,0.01887940208342901,0.0008994606722823321,0.08240925300557479,0.5567816465027949,1.0,0.28909787535716697
19,Aoloau Sisifo,0.08904845539375339,0.0,0.0,0.12413145086775097,0.5535034650319726,1.0,0.27185580486805677
20,Aoloau Sasae,0.08096249373526272,0.0009974730072054166,1.5072501371847867e-05,0.10284364585601294,0.5660767536776963,1.0,0.2821020353503789
21,Fagamalo,0.0972658986581775,0.007876675058704706,0.0,0.12145051458249068,0.577890834689856,1.0,0.2340948314072196
22,Matuu - Faganeanea,0.08275378253269954,0.014617444357967822,0.0006845891009630193,0.09675281470976078,0.5661554035367842,1.0,0.265883757693626
23,Nuuuli Pala,0.14020441129850866,0.027520020914262817,0.0019964052197868065,0.06921961368940208,0.5734808254535442,1.0,0.22460849629859164
24,Maloata,0.08399309603785794,0.007778934761901473,2.9037432356698966e-05,0.11381482958783638,0.575866728837819,1.0,0.2584388586062613
25,Fagalii,0.12108290586240705,0.02706696342355902,0.00015038594049917862,0.13495308445396592,0.5885855060723735,1.0,0.20302695148387875
26,Afao - Asili,0.087922719854286,0.0047774858277687855,9.146236420061425e-05,0.11323833358639895,0.5811679693290805,1.0,0.22945117556539285
27,Leone,0.18185011391167386,0.02549860875200659,0.0005631566484255467,0.07776578862342727,0.6070415905795881,1.0,0.1608660676159638
28,Poloa,0.13974015423582228,0.04504115521152758,0.0002214594180290203,0.1543845271931947,0.6023376876940536,1.0,0.16262613964937425
29,Nua - Seetaga,0.11341806119474476,0.011884193861605174,0.00028626520235657834,0.13359026867605736,0.5739914703600085,1.0,0.19472252092193787
30,Tafuna Plain,0.29518759392238425,0.055361240312928175,0.0029011975386513005,0.034824767090186934,0.5893413991301132,1.0,0.09816230395128123
31,Amanave,0.16352184001936135,0.02615725687030477,0.001296255453265108,0.15044242583500286,0.5796060918128425,1.0,0.12316272972790587
32,Fagatele - Larsen,0.1852684311750261,0.014153914365785695,7.694540093649923e-05,0.1415806919546417,0.5361292646071373,1.0,0.15564195123013977
