OID,SHED_NAME,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
0,Fagatuitui - Vaaogeoge,1,2040,5100000.000000000000000,0.000000000000000,188.339996337999992,188.339996337999992,92.288436216500003,20.997506785900001,188268.409882000007201
1,Vatia,2,1949,4872500.000000000000000,0.000000000000000,169.889999390000014,169.889999390000014,95.839466462000004,21.860734622700001,186791.120133999997051
2,Tula,3,651,1627500.000000000000000,0.000000000000000,116.900001525999997,116.900001525999997,49.032273437599997,24.576519102700001,31920.010007900000346
3,Onenoa,4,359,897500.000000000000000,0.000000000000000,111.349998474000003,111.349998474000003,54.044150339200002,13.441642882700000,19401.849971799998457
4,Afono,5,1347,3367500.000000000000000,0.000000000000000,180.360000609999986,180.360000609999986,98.382910138699998,23.322081496399999,132521.779956999991555
5,Masefau,6,1443,3607500.000000000000000,0.000000000000000,160.910003662000008,160.910003662000008,85.801060319399994,26.729982571200001,123810.930040999999619
6,Aoa,7,877,2192500.000000000000000,0.000000000000000,105.379997252999999,105.379997252999999,53.761254283400000,12.451500920200001,47148.620006600001943
7,Masausi,8,617,1542500.000000000000000,0.000000000000000,125.059997558999996,125.059997558999996,69.404068147700002,19.861862208500000,42822.310047099999792
8,Sailele,9,263,657500.000000000000000,0.000000000000000,122.510002135999997,122.510002135999997,54.052889820300003,20.496296283500001,14215.910022699999899
9,Alao,10,540,1350000.000000000000000,0.000000000000000,120.330001831000004,120.330001831000004,54.702185168100002,15.725309797100000,29539.179990799999359
10,Pago Pago Harbor,11,4176,10440000.000000000000000,0.000000000000000,210.240005493000012,210.240005493000012,106.286386596000000,28.477026669400001,443851.950422999972943
11,Fagaitua,12,1949,4872500.000000000000000,0.000000000000000,156.059997559000010,156.059997559000010,79.977716826600002,18.135566077600000,155876.570095000002766
12,Auasi,13,377,942500.000000000000000,0.000000000000000,105.809997558999996,105.809997558999996,50.593899226600001,14.311788284300000,19073.900008399999933
13,Amouli,14,787,1967500.000000000000000,0.000000000000000,105.809997558999996,105.809997558999996,53.912376217199999,14.941192268700000,42429.040082899999106
14,Alega,15,513,1282500.000000000000000,0.000000000000000,152.070007323999988,152.070007323999988,94.303508706499997,13.489233061900000,48377.699966400003177
15,Laulii - Aumi,16,1083,2707500.000000000000000,0.000000000000000,145.449996948000006,145.449996948000006,91.759732102900003,12.989661817600000,99375.789867400002549
16,Fagasa,17,1393,3482500.000000000000000,0.000000000000000,184.369995117000002,184.369995117000002,105.559806097999996,23.025153785800001,147044.809895000013057
17,Aasu,18,3370,8425000.000000000000000,0.000000000000000,206.850006103999988,206.850006103999988,109.665299712000007,23.861364034699999,369572.060027999978047
18,Fagaalu,19,991,2477500.000000000000000,0.000000000000000,200.899993896000012,200.899993896000012,101.191513559000001,21.990789676500000,100280.789936999994097
19,Aoloau Sisifo,20,632,1580000.000000000000000,0.000000000000000,165.809997559000010,165.809997559000010,93.580664447600000,22.212208616300000,59142.979930900000909
20,Aoloau Sasae,21,2114,5285000.000000000000000,0.000000000000000,190.899993896000012,190.899993896000012,106.594858152000000,21.602013178600000,225341.530134000000544
21,Fagamalo,22,848,2120000.000000000000000,0.000000000000000,169.149993896000012,169.149993896000012,92.097664985999998,21.269555152700001,78098.819908100005705
22,Matuu - Faganeanea,23,1036,2590000.000000000000000,0.000000000000000,164.169998168999996,164.169998168999996,100.581119639999997,18.253177798599999,104202.039948000005097
23,Nuuuli Pala,24,7034,17585000.000000000000000,0.000000000000000,248.309997559000010,248.309997559000010,107.024138476000005,43.071130768300002,752807.790043000015430
24,Maloata,25,1118,2795000.000000000000000,0.000000000000000,168.009994506999988,168.009994506999988,106.432245084000002,17.840648448100001,118991.250004000001354
25,Fagalii,26,823,2057500.000000000000000,0.000000000000000,141.899993896000012,141.899993896000012,85.600242909100004,18.250141825200000,70448.999914200001513
26,Afao - Asili,27,1105,2762500.000000000000000,0.000000000000000,152.990005493000012,152.990005493000012,103.506941115999993,17.937482898700001,114375.169932999997400
27,Leone,28,5866,14665000.000000000000000,0.000000000000000,251.619995117000002,251.619995117000002,99.183678794299993,33.226973144699997,581811.459807000006549
28,Poloa,29,425,1062500.000000000000000,0.000000000000000,136.759994506999988,136.759994506999988,76.795929121100002,19.835160380100000,32638.269876499998645
29,Nua - Seetaga,30,1238,3095000.000000000000000,0.000000000000000,154.399993896000012,154.399993896000012,87.460104986999994,13.611928378300000,108275.609974000006332
30,Tafuna Plain,31,5671,14177500.000000000000000,0.000000000000000,250.660003662000008,250.660003662000008,83.796018300499995,39.356709463000001,475207.219782000000123
31,Amanave,32,404,1010000.000000000000000,22.629999160800001,118.940002441000004,96.310003280600000,73.047425699700000,13.012463195000000,29511.159982699999091
32,Fagatele - Larsen,33,1260,3150000.000000000000000,0.000000000000000,130.910003662000008,130.910003662000008,66.358650862999994,14.532722644600000,83611.900087400004850
