OID,SHED_NAME,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
0,Fagatuitui - Vaaogeoge,1,2040,5100000.000000000000000,0.000000000000000,51.790000915500002,51.790000915500002,13.310921570100000,5.046043887220000,27154.280002999999851
1,Vatia,2,1949,4872500.000000000000000,0.000000000000000,51.950000762899997,51.950000762899997,16.604715229200000,10.588651183500000,32362.589981699999043
2,Tula,3,651,1627500.000000000000000,0.000000000000000,58.369998931900000,58.369998931900000,23.511551467000000,17.450864812100001,15306.020005000000310
3,Onenoa,4,359,897500.000000000000000,0.000000000000000,55.209999084499998,55.209999084499998,20.002618387199998,10.407274564000000,7180.940001009999833
4,Afono,5,1347,3367500.000000000000000,0.000000000000000,49.930000305199997,49.930000305199997,17.461677818500000,11.300892641200001,23520.880021600001783
5,Masefau,6,1443,3607500.000000000000000,0.000000000000000,51.970001220699999,51.970001220699999,17.989203057400001,12.244638943700000,25958.420011800000793
6,Aoa,7,877,2192500.000000000000000,0.000000000000000,50.869998931900000,50.869998931900000,19.916339779099999,11.245802566800000,17466.629986299998563
7,Masausi,8,617,1542500.000000000000000,0.000000000000000,55.790000915500002,55.790000915500002,18.981539675099999,11.961899457199999,11711.609979499999099
8,Sailele,9,263,657500.000000000000000,0.000000000000000,54.650001525900002,54.650001525900002,17.046958216200000,10.317045740299999,4483.350010870000006
9,Alao,10,540,1350000.000000000000000,0.000000000000000,59.590000152599998,59.590000152599998,24.101555521400002,15.359473818400000,13014.839981600000101
10,Pago Pago Harbor,11,4176,10440000.000000000000000,0.000000000000000,54.590000152599998,54.590000152599998,20.798192033700001,13.547447950700001,86853.249932499995339
11,Fagaitua,12,1949,4872500.000000000000000,0.000000000000000,59.409999847400002,59.409999847400002,20.077126726600000,13.182465723800000,39130.319990199997847
12,Auasi,13,377,942500.000000000000000,0.000000000000000,53.590000152599998,53.590000152599998,20.634827608799998,10.888237484899999,7779.330008509999971
13,Amouli,14,787,1967500.000000000000000,0.000000000000000,59.459999084499998,59.459999084499998,22.345095286700001,12.262795027899999,17585.589990600001329
14,Alega,15,513,1282500.000000000000000,0.000000000000000,55.299999237100003,55.299999237100003,15.568128646900000,8.004477959810000,7986.449995879999733
15,Laulii - Aumi,16,1083,2707500.000000000000000,0.000000000000000,55.290000915500002,55.290000915500002,20.027608527999998,12.826362182500000,21689.900035899998329
16,Fagasa,17,1393,3482500.000000000000000,0.000000000000000,46.430000305199997,46.430000305199997,16.377602333900001,9.838039124370001,22814.000051099999837
17,Aasu,18,3370,8425000.000000000000000,0.000000000000000,55.790000915500002,55.790000915500002,17.333130549900002,11.269536618100000,58412.649953000000096
18,Fagaalu,19,991,2477500.000000000000000,0.000000000000000,50.529998779300001,50.529998779300001,18.671261338000001,12.358761325400000,18503.219986000000063
19,Aoloau Sisifo,20,632,1580000.000000000000000,0.000000000000000,58.950000762899997,58.950000762899997,15.089667728100000,5.218216487320000,9536.670004129999143
20,Aoloau Sasae,21,2114,5285000.000000000000000,0.000000000000000,58.049999237100003,58.049999237100003,15.565420991200000,6.925649027780000,32905.299975399997493
21,Fagamalo,22,848,2120000.000000000000000,0.000000000000000,60.500000000000000,60.500000000000000,16.231037732299999,7.185157642180000,13763.919997000000876
22,Matuu - Faganeanea,23,1036,2590000.000000000000000,0.000000000000000,53.740001678500001,53.740001678500001,16.988214306200000,10.325576950600000,17599.790021199998591
23,Nuuuli Pala,24,7034,17585000.000000000000000,0.000000000000000,64.330001831100006,64.330001831100006,26.542527720599999,18.500956475599999,186700.139985999994678
24,Maloata,25,1118,2795000.000000000000000,0.000000000000000,60.330001831099999,60.330001831099999,16.213935594300001,6.809418325070000,18127.179994499998429
25,Fagalii,26,823,2057500.000000000000000,0.000000000000000,61.529998779300001,61.529998779300001,20.365127604500000,12.722575388399999,16760.500018499998987
26,Afao - Asili,27,1105,2762500.000000000000000,0.000000000000000,56.680000305199997,56.680000305199997,17.789601808400000,9.657213135310000,19657.509998300000007
27,Leone,28,5866,14665000.000000000000000,0.000000000000000,60.849998474099998,60.849998474099998,32.007337197100000,17.973639774599999,187755.039997999992920
28,Poloa,29,425,1062500.000000000000000,0.000000000000000,61.549999237100003,61.549999237100003,21.495082309099999,13.577800569900001,9135.409981369999514
29,Nua - Seetaga,30,1238,3095000.000000000000000,0.000000000000000,59.709999084499998,59.709999084499998,20.091680133899999,11.923397348200000,24873.500005699999747
30,Tafuna Plain,31,5671,14177500.000000000000000,0.000000000000000,66.190002441399997,66.190002441399997,45.675603938499997,13.842097339700000,259026.349935000005644
31,Amanave,32,404,1010000.000000000000000,15.739999771100001,60.169998168900001,44.429998397799999,24.213292086500001,14.667904053099999,9782.170002939999904
32,Fagatele - Larsen,33,1260,3150000.000000000000000,0.000000000000000,62.549999237100003,62.549999237100003,28.860523819800001,16.933004863699999,36364.260012999999162
