,actual_et,direct_net_infiltation,direct_soil_moisture,interception,net_infiltration,rainfall,runoff
JAN,70.1519843065964,14.96332492556112,0.655565352319721,37.45088041845539,249.5586594690506,417.63473787258806,66.75557272873006
FEB,67.6426714078495,14.963324925561121,0.655565352319721,36.03947443902251,241.14683298610487,397.15692173306564,67.32066617004224
MAR,62.70879190651498,14.96332492556112,0.655565352319721,36.519350433188016,274.41731314203315,452.74476817263474,93.95371902055024
APR,53.709418503266456,14.963324925561121,0.655565352319721,33.92422638716753,222.51971030030933,360.49465550061257,64.66993499049958
MAY,44.29116982866379,14.96332492556112,0.655565352319721,30.34993827564318,236.8296427176229,352.7230123178128,57.43535692372975
JUN,39.37301408984702,14.963324925561121,0.655565352319721,31.81099998176951,262.8237811013867,417.76686399641363,98.19594533055788
JUL,39.78277965599619,14.96332492556112,0.655565352319721,26.487482733333643,207.61328062497654,323.74173202820896,66.01443115939558
AUG,45.01354990050084,14.96332492556112,0.655565352319721,27.20135286278741,198.47530228934966,306.9800300868336,52.53082166763079
SEP,51.58756668195903,14.963324925561121,0.655565352319721,29.445765575429803,210.52483141327411,334.85896589113025,56.569375006345346
OCT,58.94721660419652,14.96332492556112,0.655565352319721,35.122160507675076,244.2946165819154,416.09598340163024,93.91709546691742
NOV,64.59869680318944,14.963324925561121,0.655565352319721,31.022983391152042,232.87451218980738,385.6920571488055,77.19891505732674
DEC,66.20823642780763,14.96332492556112,0.655565352319721,34.75271296648703,255.76582639022436,433.37749260900904,89.99444017523426
