,actual_et,direct_net_infiltation,direct_soil_moisture,interception,net_infiltration,rainfall,runoff
JAN,263.4240340855311,42.44974549552492,2.481583640324595,115.26702566039404,522.501943271076,938.2385584778051,44.41763263223168
FEB,252.35670138663056,42.44974549552492,2.481583640324595,111.33550232971898,510.99643257431626,892.22598949967,55.30606803780828
MAR,234.8585903971971,42.44974549552492,2.481583640324595,110.7361826934937,622.6123832787744,1017.1215924929814,75.33565396532065
APR,201.60584133512347,42.44974549552492,2.481583640324595,104.09521530665883,479.951959834178,809.8874818581432,57.56376946129553
MAY,166.92914851228826,42.44974549552492,2.481583640324595,93.41088098798946,532.7670824089437,792.4225760334392,43.420215335298806
JUN,146.6457762423297,42.44974549552492,2.481583640324595,95.22645519245411,626.873503310971,938.5455609928133,95.6233918971145
JUL,147.57103491029986,42.44974549552492,2.481583640324595,80.0137552875931,475.73574001414005,727.279054072383,65.04208244691759
AUG,169.34483697744054,42.44974549552492,2.481583640324595,83.71031068706375,442.45301549919316,689.6499652878088,40.483568675364104
SEP,192.13705087205523,42.44974549552492,2.481583640324595,89.73735956567074,441.24942261617844,752.272887583127,56.34517797404429
OCT,219.71463128646405,42.44974549552492,2.481583640324595,107.7219557745607,551.6103409703724,934.8025058790621,93.51821343751939
NOV,237.49185335382998,42.44974549552492,2.481583640324595,94.61505252277314,507.5501962683283,866.4891321546538,82.06601454853366
DEC,245.10986103698474,42.44974549552492,2.481583640324595,105.28663208672296,571.760070752158,973.550551753401,75.78800285657921
