,actual_et,direct_net_infiltation,direct_soil_moisture,interception,net_infiltration,rainfall,runoff
JAN,263424.2104427715,42449.77391479955,2481.585301696323,115267.10282941403,522502.29307591106,938239.1866101756,44417.662368968275
FEB,252356.8703345081,42449.77391479956,2481.585301696323,111335.57686666097,510996.7746764369,892226.5868275253,55306.10506413949
MAR,234858.74763043143,42449.77391479955,2481.585301696323,110736.2568292029,622612.8001055918,1017122.2734360008,75335.70440106801
APR,201605.9763062925,42449.77391479956,2481.585301696323,104095.28499637022,479952.28115263116,809888.0240619775,57563.807999113706
MAY,166929.2602680894,42449.77391479955,2481.585301696323,93410.94352474791,532767.4390860888,792423.1065448604,43420.24440428402
JUN,146645.8744188097,42449.77391479956,2481.585301696323,95226.518944704,626873.9229905249,938546.189330716,95623.45591510575
JUL,147571.13370622243,42449.77391479955,2481.585301696323,80013.80885523785,475736.0585099165,727279.54097149,65042.12599132009
AUG,169344.95035049788,42449.77391479955,2481.585301696323,83710.36672948007,442453.3117128362,689650.4269949765,40483.595778321804
SEP,192137.17950405416,42449.77391479956,2481.585301696323,89737.41964307844,441249.71802403964,752273.3912151168,56345.21569603929
OCT,219714.77838111387,42449.77391479955,2481.585301696323,107722.02789230393,551610.7102627106,934803.1317110626,93518.27604613484
NOV,237492.0123499824,42449.77391479956,2481.585301696323,94615.1158657009,507550.53606326116,866489.7122521863,82066.06949012585
DEC,245110.02513324431,42449.77391479955,2481.585301696323,105286.70257406459,571760.4535343464,973551.2035264607,75788.05359516533
