OID,SHED_NAME,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
0,Fagatuitui - Vaaogeoge,1,2040,5100000.000000000000000,0.000000000000000,27.409999847400002,27.409999847400002,19.329892145399999,5.112837058410000,39432.979976700000407
1,Vatia,2,1949,4872500.000000000000000,0.000000000000000,24.649999618500001,24.649999618500001,17.287788472799999,7.341274679620000,33693.899733500002185
2,Tula,3,651,1627500.000000000000000,0.000000000000000,24.129999160800001,24.129999160800001,11.969032271500000,11.017145149699999,7791.840008739999575
3,Onenoa,4,359,897500.000000000000000,0.000000000000000,24.489999771099999,24.489999771099999,15.654874727299999,8.187447136659999,5620.100027079999563
4,Afono,5,1347,3367500.000000000000000,0.000000000000000,21.959999084500001,21.959999084500001,13.473853028400001,6.918634485810000,18149.280029300000024
5,Masefau,6,1443,3607500.000000000000000,0.000000000000000,25.760000228900001,25.760000228900001,14.859695047300001,7.983022976220000,21442.539953200001037
6,Aoa,7,877,2192500.000000000000000,0.000000000000000,21.149999618500001,21.149999618500001,13.103591750400000,6.342411100210000,11491.849965100000190
7,Masausi,8,617,1542500.000000000000000,0.000000000000000,24.780000686600001,24.780000686600001,16.436029227100001,8.146252172810000,10141.030033099999855
8,Sailele,9,263,657500.000000000000000,0.000000000000000,22.920000076299999,22.920000076299999,13.295285170500000,7.012917649210000,3496.659999850000077
9,Alao,10,540,1350000.000000000000000,0.000000000000000,23.340000152599998,23.340000152599998,13.301759195300001,7.981597804860000,7182.949965480000174
10,Pago Pago Harbor,11,4176,10440000.000000000000000,0.000000000000000,27.409999847400002,27.409999847400002,11.311223664500000,8.816449510980000,47235.670022999998764
11,Fagaitua,12,1949,4872500.000000000000000,0.000000000000000,26.139999389600000,26.139999389600000,15.840708098500000,7.772643616770000,30873.540083899999445
12,Auasi,13,377,942500.000000000000000,0.000000000000000,20.870000839199999,20.870000839199999,13.234986793499999,6.658028419400000,4989.590021130000423
13,Amouli,14,787,1967500.000000000000000,0.000000000000000,26.139999389600000,26.139999389600000,12.560940318400000,7.606219378990000,9885.460030559999723
14,Alega,15,513,1282500.000000000000000,0.000000000000000,20.110000610400000,20.110000610400000,16.427173424900001,4.652934204650000,8427.139966959999583
15,Laulii - Aumi,16,1083,2707500.000000000000000,0.000000000000000,22.940000534100001,22.940000534100001,13.211458951199999,7.156672616840000,14308.010044099999504
16,Fagasa,17,1393,3482500.000000000000000,0.000000000000000,22.629999160800001,22.629999160800001,12.815305112200001,6.686309540660000,17851.720021199998882
17,Aasu,18,3370,8425000.000000000000000,0.000000000000000,32.200000762899997,32.200000762899997,17.926922873100001,8.001036106680001,60413.730082499998389
18,Fagaalu,19,991,2477500.000000000000000,0.000000000000000,25.530000686600001,25.530000686600001,13.457739722199999,8.315606793500001,13336.620064700000512
19,Aoloau Sisifo,20,632,1580000.000000000000000,0.000000000000000,24.440000534100001,24.440000534100001,20.652452574500000,4.531569985100000,13052.350027099999352
20,Aoloau Sasae,21,2114,5285000.000000000000000,0.000000000000000,26.690000534100001,26.690000534100001,19.298637608899998,5.589742612040000,40797.319905299998936
21,Fagamalo,22,848,2120000.000000000000000,0.000000000000000,24.040000915499999,24.040000915499999,18.878172136700002,4.918917411230000,16008.689971899999364
22,Matuu - Faganeanea,23,1036,2590000.000000000000000,0.000000000000000,25.530000686600001,25.530000686600001,16.217200815000002,7.020339379540000,16801.020044299999427
23,Nuuuli Pala,24,7034,17585000.000000000000000,0.000000000000000,31.659999847400002,31.659999847400002,10.472038658400001,9.938479062680001,73660.319923400005791
24,Maloata,25,1118,2795000.000000000000000,0.000000000000000,27.450000762900000,27.450000762900000,21.101976787900000,4.658563564050000,23592.010048899999674
25,Fagalii,26,823,2057500.000000000000000,0.000000000000000,28.870000839199999,28.870000839199999,20.077655078399999,8.177099512970001,16523.910129500000039
26,Afao - Asili,27,1105,2762500.000000000000000,0.000000000000000,25.790000915499999,25.790000915499999,20.473782828499999,6.992132932730000,22623.530025500000193
27,Leone,28,5866,14665000.000000000000000,0.000000000000000,29.010000228900001,29.010000228900001,11.406184795400000,11.629184405400000,66908.680009799994878
28,Poloa,29,425,1062500.000000000000000,0.000000000000000,29.450000762900000,29.450000762900000,21.298376406500001,9.927183127950000,9051.809972760000164
29,Nua - Seetaga,30,1238,3095000.000000000000000,0.000000000000000,29.389999389600000,29.389999389600000,21.328788333599999,9.305057173430001,26405.039957000000868
30,Tafuna Plain,31,5671,14177500.000000000000000,0.000000000000000,29.010000228900001,29.010000228900001,3.063696003450000,7.989856231940000,17374.220035599999392
31,Amanave,32,404,1010000.000000000000000,0.000000000000000,29.450000762900000,29.450000762900000,20.777178240300000,11.192976809099999,8393.980009079999945
32,Fagatele - Larsen,33,1260,3150000.000000000000000,0.000000000000000,27.940000534100001,27.940000534100001,15.645095266600000,12.310364472700000,19712.820035900000221
