,SHED_NAME,actual_et,direct_net_infiltation,direct_soil_moisture,interception,net_infiltration,rainfall,runoff
0,Fagatuitui - Vaaogeoge,0.14606346893682695,0.0,0.0,0.17019192030426025,0.5861215282038001,1.0,0.11317175233176681
1,Vatia,0.1763857194252225,0.017378376064474736,0.0010783940134272058,0.15191898158520672,0.5936313030510542,1.0,0.0985708294530979
2,Tula,0.35355925405855304,0.07603087224402047,0.0033015396929365255,0.13826824301440674,0.5101223343910962,1.0,0.0645836191038943
3,Onenoa,0.29419692268812214,0.03734922699108331,0.0015042985590688228,0.1731953246742229,0.5249070138764201,1.0,0.043733719665551854
4,Afono,0.18244106060596235,0.01648810931971159,0.0008535690592867161,0.11422382091566954,0.6178279856803781,1.0,0.10427341896568255
5,Masefau,0.20208698842850892,0.0384745712953971,0.0008211033911677976,0.1353559962607078,0.6158407454430168,1.0,0.0898694442100078
6,Aoa,0.2915342945519111,0.03619254372966665,0.0012611069371863096,0.1512471822769111,0.5501486184882395,1.0,0.040138756777390275
7,Masausi,0.23728259886064065,0.05534025440105003,0.0006226260999392526,0.16391835812704988,0.5962844497235936,1.0,0.05910817852949993
8,Sailele,0.264606610763783,0.07257132224091163,0.0040058436687018875,0.1592383551985581,0.5934086865967082,1.0,0.04246861900533789
9,Alao,0.3378600020743598,0.07998980862738153,0.001943242694053457,0.14575453794751256,0.5417558219037665,1.0,0.05068165827729638
10,Pago Pago Harbor,0.21912239721460866,0.07149216155589545,0.005943795756243117,0.09520311399394432,0.6266878984022478,1.0,0.09949914105271215
11,Fagaitua,0.2355809474348198,0.0552513239788468,0.0019211875818775442,0.14871260388144236,0.601901419152601,1.0,0.06357240470413848
12,Auasi,0.3174826225394598,0.06499151461028295,0.0012775497952742616,0.15832845036295765,0.5413668363176536,1.0,0.03521353100757296
13,Amouli,0.33482849954542676,0.08672420317717675,0.002223637447263837,0.14308365722530253,0.5582917752897011,1.0,0.03906033733207025
14,Alega,0.16701227022251178,0.02835633053266882,0.0002580741721122222,0.14167046203430336,0.6187444412425175,1.0,0.10212059502502786
15,Laulii - Aumi,0.22221907614894543,0.03573023347125984,0.0020536762507964578,0.11611796717957897,0.5980631968469404,1.0,0.09459772167233779
16,Fagasa,0.1606019917982167,0.020778520136225116,0.0015343508156226194,0.10354836389156163,0.6125176764979837,1.0,0.14782177285699596
17,Aasu,0.14425241295018773,0.008957442047244982,0.00028225360196538026,0.12125607306326842,0.6142610866008958,1.0,0.14074920024529758
18,Fagaalu,0.17687997542097658,0.034916065111398324,0.003489464281314557,0.10580123544671291,0.6038236839057536,1.0,0.13596145005392998
19,Aoloau Sisifo,0.15345257767069287,0.0,0.0,0.17026573144821347,0.5949262683910113,1.0,0.09630869826305184
20,Aoloau Sasae,0.1350608007221315,0.0018284472186225705,7.390319611992694e-05,0.13713448325847385,0.6149446768473092,1.0,0.1294318820165381
21,Fagamalo,0.1733764666401349,0.01386598273925025,0.00015352628567303606,0.16699936814127483,0.6051852659493303,1.0,0.07521559776446782
22,Matuu - Faganeanea,0.158680088084002,0.027080776387493035,0.0025223043858485185,0.12528130536570328,0.6113362141689443,1.0,0.12202342035458603
23,Nuuuli Pala,0.2504541685037757,0.04736633342048813,0.005147739452517277,0.08085629451613238,0.5792217458512852,1.0,0.11196308924293535
24,Maloata,0.13939237358755377,0.012642276019388037,9.361528125393146e-05,0.1512815923459722,0.6099102660011493,1.0,0.1214002188436063
25,Fagalii,0.18969259803143027,0.038312185889008914,0.0007663737483064267,0.15454797451374366,0.594089794170515,1.0,0.10850412471234679
26,Afao - Asili,0.1411413304379475,0.0076953282101664905,0.000649339974291314,0.13325574536999066,0.6018904660598706,1.0,0.13254313072765408
27,Leone,0.269994250225435,0.03869337105229279,0.001471540366618873,0.07888710239831978,0.5938782097198232,1.0,0.09419225402788944
28,Poloa,0.19776213022716096,0.056583677349608445,0.0012089093983124256,0.15850212560796048,0.6034204107574256,1.0,0.10395120815261338
29,Nua - Seetaga,0.1733565904334483,0.017358291486811044,0.0008733975527958081,0.14471878576321862,0.5862606213137623,1.0,0.11186371881693315
30,Tafuna Plain,0.4480615458502795,0.0827634511072863,0.006500376621985119,0.02457835876167661,0.5289364362478296,1.0,0.050140703564802554
31,Amanave,0.21634961889327378,0.03314996521798299,0.0021772035018146237,0.1472619617251357,0.574458317955925,1.0,0.08484856872977273
32,Fagatele - Larsen,0.32549618690977,0.020677343286530165,0.00038012483143236753,0.13861731645593947,0.471997473789142,1.0,0.08837992856053702
