,actual_et,direct_net_infiltation,direct_soil_moisture,interception,net_infiltration,rainfall,runoff
JAN,70.7416214993485,11.82114443925275,0.655565352319721,29.522537335662506,123.52421729781834,229.4404482998388,8.904409261776177
FEB,67.4651877754567,11.821144439252752,0.655565352319721,27.7148753554592,105.94313755450648,197.66510633911628,8.580823486216296
MAR,63.23045029673626,11.82114443925275,0.655565352319721,28.12596052067276,142.6113778456499,240.74736471163692,13.514120568167154
APR,54.40300766469377,11.821144439252752,0.655565352319721,28.753171881008157,144.72029916655416,240.11763181443843,20.839053907314153
MAY,44.55261110607024,11.82114443925275,0.655565352319721,27.9673753153421,197.35649835577968,290.08992929588686,32.37170245279355
JUN,38.7432548695084,11.821144439252752,0.655565352319721,28.576741357432205,217.08802231081015,330.9627047039718,55.578760280010904
JUL,38.473608666557084,11.82114443925275,0.655565352319721,21.5529829119209,132.55693381706945,200.62875090717944,19.79431422654436
AUG,44.48230829841985,11.82114443925275,0.655565352319721,24.4455698108646,154.82045110874736,237.19148554067948,25.350025157392803
SEP,51.27169225677581,11.821144439252752,0.655565352319721,25.95303425655757,153.14899404277637,249.48522314190762,27.896939585514694
OCT,59.226949864598744,11.82114443925275,0.655565352319721,30.20899757001759,172.86484452584008,290.7684758633776,38.87469762413025
NOV,64.38877337987674,11.821144439252752,0.655565352319721,27.031884765138464,167.75183806901566,280.1554525414883,36.59244352685741
DEC,65.49526590282075,11.82114443925275,0.655565352319721,26.82339023682948,138.01830549200503,237.41571836571953,15.786708184058703
