,actual_et,direct_net_infiltation,direct_soil_moisture,interception,net_infiltration,rainfall,runoff
JAN,270.6039239398024,62.67714448344334,2.481583640324595,136.78891703219568,885.9659156334169,1463.4568221153875,198.87670487091037
FEB,263.27451787110493,62.67714448344334,2.481583640324595,127.40553513303881,762.2623382702668,1260.8181382233797,171.16797875995712
MAR,242.7979045092988,62.67714448344334,2.481583640324595,131.90005924208265,946.8369200663521,1535.6257429628538,270.2499094432164
APR,207.32845801503314,62.67714448344334,2.481583640324595,135.03935464062596,947.2665250018691,1531.5216900377277,303.05518245758185
MAY,169.21803739263885,62.67714448344334,2.481583640324595,133.33046554402432,1133.5856525313707,1850.2242736132505,495.6408118877724
JUN,148.4879350280521,62.67714448344334,2.481583640324595,140.92751731667525,1213.4053289172866,2110.977307983098,690.4931446172086
JUL,148.42101369703647,62.67714448344334,2.481583640324595,102.57978574037703,826.4223193692897,1279.692380825902,271.38050882536453
AUG,169.15175185612907,62.67714448344334,2.481583640324595,116.01972211242172,930.6319320393212,1512.91967720624,373.0698762856961
SEP,196.5373024652187,62.67714448344334,2.481583640324595,124.04306695720102,967.7340486980956,1591.291826662607,367.368584711991
OCT,226.4522791802416,62.67714448344334,2.481583640324595,143.0272554110936,1050.3244284849977,1854.7030739062714,509.9396165787727
NOV,247.31322711262476,62.67714448344334,2.481583640324595,129.39552279154935,1048.1816133019383,1787.0133927630227,451.7107069121416
DEC,253.45850003931028,62.67714448344334,2.481583640324595,125.89862539133364,906.7750288910802,1514.3080870611568,285.6826167574159
