,actual_et,direct_net_infiltation,direct_soil_moisture,interception,net_infiltration,rainfall,runoff
JAN,270604.10510383866,62677.18644456611,2481.585301696323,136789.00860970115,885966.5087702752,1463457.8018711165,198876.8380149759
FEB,263274.6941282471,62677.18644456612,2481.585301696323,127405.62042855355,762262.8485899986,1260818.9823164719,171168.09335357224
MAR,242798.06705774873,62677.18644456611,2481.585301696323,131900.14754659342,946837.5539551578,1535626.7710342642,270250.09037024685
APR,207328.59681738212,62677.18644456611,2481.585301696323,135039.4450468336,947267.1591782867,1531522.715361555,303055.3853471012
MAY,169218.15068080634,62677.18644456611,2481.585301696323,133330.55480616412,1133586.4114448014,1850225.5123022262,495641.14370960515
JUN,148488.0344378214,62677.18644456611,2481.585301696323,140927.6116648927,1213406.14126843,2110978.721241132,690493.6068888685
JUL,148421.11306200322,62677.18644456611,2481.585301696323,102579.85441553796,826422.8726428744,1279693.2375549306,271380.6905093092
AUG,169151.8650999197,62677.18644456611,2481.585301696323,116019.79978535726,930632.5550792041,1512920.6900763835,373070.12604868406
SEP,196537.43404310002,62677.18644456611,2481.585301696323,124043.15000160906,967734.6965771202,1591292.8920013723,367368.83065807575
OCT,226452.4307856149,62677.18644456611,2481.585301696323,143027.35116504465,1050325.1316566668,1854704.3155937162,509939.9579733757
NOV,247313.39268399487,62677.18644456611,2481.585301696323,129395.60941932193,1048182.3150390346,1787014.5891335497,451711.00932362804
DEC,253458.66972482047,62677.18644456611,2481.585301696323,125898.70967800177,906775.6359592328,1514309.1008608134,285682.80801634217
