OID,SHED_NAME,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
0,Fagatuitui - Vaaogeoge,1,2040,5100000.000000000000000,0.000000000000000,51.549999237100003,51.549999237100003,13.182122507900001,4.326345609810000,26891.529915999999503
1,Vatia,2,1949,4872500.000000000000000,0.000000000000000,51.580001831099999,51.580001831099999,16.856921564400000,10.898329740499999,32854.140128999999433
2,Tula,3,651,1627500.000000000000000,0.000000000000000,50.279998779300001,50.279998779300001,22.254301218799998,15.929500149200001,14487.550093399999241
3,Onenoa,4,359,897500.000000000000000,0.000000000000000,49.319999694800003,49.319999694800003,16.617966639300001,8.463616659900000,5965.850023510000028
4,Afono,5,1347,3367500.000000000000000,0.000000000000000,50.380001068100000,50.380001068100000,18.061084022999999,11.428854692400000,24328.280179000001226
5,Masefau,6,1443,3607500.000000000000000,0.000000000000000,53.220001220699999,53.220001220699999,19.411559426000000,12.793961997700000,28010.880251700000372
6,Aoa,7,877,2192500.000000000000000,0.000000000000000,45.880001068100000,45.880001068100000,18.135211090399999,10.670213084700000,15904.580126299999392
7,Masausi,8,617,1542500.000000000000000,0.000000000000000,53.159999847400002,53.159999847400002,21.810291558799999,13.538034054200001,13456.949891800000842
8,Sailele,9,263,657500.000000000000000,0.000000000000000,51.549999237100003,51.549999237100003,16.679467875699999,10.901077902000001,4386.700051310000163
9,Alao,10,540,1350000.000000000000000,0.000000000000000,47.209999084499998,47.209999084499998,20.216740568500001,12.823904144700000,10917.039907000000312
10,Pago Pago Harbor,11,4176,10440000.000000000000000,0.000000000000000,54.569999694800003,54.569999694800003,22.352653272700000,14.343928043600000,93344.680066899993108
11,Fagaitua,12,1949,4872500.000000000000000,0.000000000000000,53.169998168900001,53.169998168900001,17.233412063900001,10.686615357699999,33587.920112599997083
12,Auasi,13,377,942500.000000000000000,0.000000000000000,43.869998931900000,43.869998931900000,14.850609955199999,8.331265088860000,5598.679953099999693
13,Amouli,14,787,1967500.000000000000000,0.000000000000000,45.590000152599998,45.590000152599998,18.298767514000001,10.488391625500000,14401.130033499999627
14,Alega,15,513,1282500.000000000000000,0.000000000000000,48.799999237100003,48.799999237100003,13.562144326900000,7.108750405250000,6957.380039689999649
15,Laulii - Aumi,16,1083,2707500.000000000000000,0.000000000000000,46.590000152599998,46.590000152599998,16.381504960600001,10.559632367500001,17741.169872300000861
16,Fagasa,17,1393,3482500.000000000000000,0.000000000000000,49.450000762899997,49.450000762899997,18.094450931800001,10.637735229900001,25205.570148099999642
17,Aasu,18,3370,8425000.000000000000000,0.000000000000000,55.849998474099998,55.849998474099998,17.057741725000000,9.857774531040000,57484.589613199997984
18,Fagaalu,19,991,2477500.000000000000000,0.000000000000000,49.790000915500002,49.790000915500002,18.786357221199999,12.576910163100001,18617.280006199998752
19,Aoloau Sisifo,20,632,1580000.000000000000000,0.000000000000000,47.549999237100003,47.549999237100003,13.328797504500001,5.425824553010000,8423.800022839999656
20,Aoloau Sasae,21,2114,5285000.000000000000000,0.000000000000000,53.150001525900002,53.150001525900002,15.694380245500000,8.810897399120000,33177.919839000001957
21,Fagamalo,22,848,2120000.000000000000000,0.000000000000000,54.119998931900000,54.119998931900000,14.636686320200001,6.971569031950000,12411.909999499999685
22,Matuu - Faganeanea,23,1036,2590000.000000000000000,0.000000000000000,47.659999847400002,47.659999847400002,13.702519321400001,8.382255357569999,14195.810016900000846
23,Nuuuli Pala,24,7034,17585000.000000000000000,0.000000000000000,54.849998474099998,54.849998474099998,25.967320171899999,16.065271957400000,182654.130089000012958
24,Maloata,25,1118,2795000.000000000000000,0.000000000000000,54.259998321499999,54.259998321499999,16.582236238699998,9.780934552270001,18538.940114900000481
25,Fagalii,26,823,2057500.000000000000000,0.000000000000000,54.180000305199997,54.180000305199997,19.753074184100001,13.176426756300000,16256.780053500000577
26,Afao - Asili,27,1105,2762500.000000000000000,0.000000000000000,53.900001525900002,53.900001525900002,18.431312196000000,11.313054607700000,20366.599976500001503
27,Leone,28,5866,14665000.000000000000000,0.000000000000000,56.400001525900002,56.400001525900002,32.434657363299998,16.920325863900000,190261.700092999992194
28,Poloa,29,425,1062500.000000000000000,0.000000000000000,53.509998321499999,53.509998321499999,19.839152866799999,13.213257319600000,8431.639968400000726
29,Nua - Seetaga,30,1238,3095000.000000000000000,0.000000000000000,53.380001068100000,53.380001068100000,16.577334423300002,9.694072991560001,20522.740015999999741
30,Tafuna Plain,31,5671,14177500.000000000000000,0.000000000000000,54.610000610400000,54.610000610400000,43.039437623600001,10.004983196700000,244076.650763999990886
31,Amanave,32,404,1010000.000000000000000,8.600000381470000,52.709999084499998,44.109998703000002,21.445222807400000,13.838193929899999,8663.870014190000802
32,Fagatele - Larsen,33,1260,3150000.000000000000000,0.000000000000000,54.110000610400000,54.110000610400000,28.043928351200002,15.508139930200000,35335.349722500002827
