,SHED_NAME,actual_et,direct_net_infiltation,direct_soil_moisture,interception,net_infiltration,rainfall,runoff
0,Fagatuitui - Vaaogeoge,0.164059974192779,0.0,0.0,0.18342545419582676,0.5829594109983799,1.0,0.07983147098893648
1,Vatia,0.2066725499365353,0.024476131113473288,0.0027175430926497358,0.1554508877302304,0.5971013360447647,1.0,0.06677217258988292
2,Tula,0.3810468525188488,0.09695297807443812,0.010888893976234798,0.11757480587996168,0.5553851425941058,1.0,0.03655696305485117
3,Onenoa,0.2696052833808817,0.047664304223711304,0.0035249314047177192,0.1718209735233943,0.5683224328517347,1.0,0.03473548756477799
4,Afono,0.2139966923617881,0.022258901018173183,0.003430522396453989,0.11897368349972655,0.6138052536386921,1.0,0.07718244369264049
5,Masefau,0.24924350980562088,0.04832155783284495,0.0027762060442390567,0.13267524253163301,0.6009057928836365,1.0,0.06991955004868859
6,Aoa,0.2968926376278617,0.05263473383556133,0.005824140103322054,0.14681089280808732,0.5725745721628992,1.0,0.037249109339873396
7,Masausi,0.3058023043729149,0.0656412774948498,0.003681367152797442,0.13961039518959967,0.5775051538869831,1.0,0.04594414403092388
8,Sailele,0.28388452549411275,0.08531096693599598,0.006989201083907489,0.1548451038234981,0.5976912390536622,1.0,0.03807820323479583
9,Alao,0.3179716946466543,0.10588445136323482,0.010135911444833078,0.14235130364643742,0.6091848810616206,1.0,0.037703551825029484
10,Pago Pago Harbor,0.2607058822888928,0.09613202619455495,0.01359043517330318,0.09937758568702693,0.6352392271508577,1.0,0.07793525276401593
11,Fagaitua,0.22617371251484972,0.07147808119941423,0.0072724839376097595,0.14871286928086874,0.6460894250032965,1.0,0.04806357693744625
12,Auasi,0.25294261412442093,0.08140934952640036,0.0075900675746410975,0.14651541170397941,0.6444193213516265,1.0,0.03088660538164635
13,Amouli,0.3013926151394058,0.10427198998644185,0.008664357753680744,0.12785703944628585,0.6368570834223262,1.0,0.032275360714253305
14,Alega,0.16318309751176396,0.03367927426900116,0.001407280584759865,0.1464669481492533,0.6470805130190813,1.0,0.07743303422635572
15,Laulii - Aumi,0.20088334801669952,0.053233635178118646,0.0059106083995232725,0.12129066663807833,0.659595024303423,1.0,0.06790032183384899
16,Fagasa,0.2022401016378593,0.031522986981354736,0.004043908176921069,0.1092723364604805,0.6098732658120701,1.0,0.11555170767774231
17,Aasu,0.1610231523198889,0.0120508701861274,0.0014790089830540429,0.1286692434353764,0.6285941405468334,1.0,0.10213055670274575
18,Fagaalu,0.19974861570114205,0.044949683859313826,0.007531901984366337,0.1125676009216261,0.6189566832473521,1.0,0.10313534213112097
19,Aoloau Sisifo,0.15202366820247323,0.0,0.0,0.17572523176881183,0.6053834842508792,1.0,0.07843156538056265
20,Aoloau Sasae,0.15423373089391626,0.0027229678543206556,0.0004183817384517209,0.13873673264435726,0.6248965895680176,1.0,0.09538917689610513
21,Fagamalo,0.17247900442206918,0.015841169543231413,0.0006670200003522634,0.1730247109262412,0.6143216689936973,1.0,0.06143810047550015
22,Matuu - Faganeanea,0.143385388069112,0.037953396809976246,0.0047270540769464575,0.1321686341970627,0.661461525905678,1.0,0.0902094637163653
23,Nuuuli Pala,0.2731000202766228,0.060714601735783975,0.014586934314107248,0.08128905590037606,0.5970011018004074,1.0,0.09162759748329981
24,Maloata,0.15986461562402618,0.014304217435620771,0.0005691298728947417,0.1470334090278159,0.6122675865411146,1.0,0.10254987339081607
25,Fagalii,0.20760930271153127,0.044352266969991005,0.003064950899669254,0.1487022228230274,0.6040259658549407,1.0,0.09161380896233941
26,Afao - Asili,0.16382074658473733,0.011537174397337117,0.001833940385939645,0.12806630945348718,0.6116186368813267,1.0,0.10849422446300404
27,Leone,0.3076604354688057,0.05864108266574313,0.00861557948539014,0.07105872190858212,0.6036043477130798,1.0,0.0809134866733166
28,Poloa,0.2098359805856679,0.06919258792564362,0.004031650898555643,0.15207586197261586,0.6286722471679265,1.0,0.08474007570256967
29,Nua - Seetaga,0.15885971181196357,0.025295031997252967,0.002786640390495331,0.1494315782210057,0.6250503284962915,1.0,0.09052029703591191
30,Tafuna Plain,0.4819038764643752,0.11024253526178977,0.023621669504122148,0.011027572342058804,0.5553760149195129,1.0,0.04777889389141064
31,Amanave,0.22064222578341788,0.046850505029890875,0.0059592630947547885,0.14711739763680248,0.6029714834960672,1.0,0.06767940169667241
32,Fagatele - Larsen,0.34346343165361587,0.02439008548819665,0.0022745053788336728,0.09641385344755783,0.5221108604926599,1.0,0.06787075448163077
