,SHED_NAME,actual_et,direct_net_infiltation,direct_soil_moisture,interception,net_infiltration,rainfall,runoff
0,Fagatuitui - Vaaogeoge,4684.525479059572,0.0,0.0,5230.621997877534,16605.545759027966,28516.336627376004,2276.501100179114
1,Vatia,5849.310327163392,676.9100142009329,75.15616438353605,4299.137887976682,16372.998287730212,27655.923685925864,1846.646109489273
2,Tula,2929.801276201714,641.2960818591056,72.02465753426587,777.6992912819437,3270.7684425946763,6614.5062750597945,241.80626152344212
3,Onenoa,1273.1210663891954,183.4923874243732,13.569863013694105,661.4560131500598,1954.7631246062097,3849.681442178531,133.72056186314896
4,Afono,4200.632864994707,440.23941946084426,67.8493150685782,2353.0768797738465,12168.3623330395,19778.129167357038,1526.524340805305
5,Masefau,4783.985617899535,944.766937252735,54.27945205474023,2594.02196778255,11828.005838095522,19551.66554275619,1367.0436574519615
6,Aoa,3131.218057728986,490.5418587058068,54.27945205484027,1368.2388603185398,4972.535384136015,9319.73666359427,347.1518900010499
7,Masausi,2458.7565344114146,502.53205232501637,28.183561643850574,1068.8198203644156,4302.201543559495,7655.732360852437,351.73607024920926
8,Sailele,807.3546570039955,229.3411284706665,18.789041095904153,416.26946832851496,1562.6654116225748,2688.2959683568965,102.36548023837616
9,Alao,2317.1393565405124,632.4547925822917,60.54246575338289,850.2736998908119,3225.3076607005487,5973.065775376842,225.2057950162307
10,Pago Pago Harbor,15855.167115824945,5988.081439724122,846.550684933344,6190.24793228363,39881.879627248825,62290.18233325551,4854.601104858907
11,Fagaitua,7197.504052127015,1846.6931197559227,187.89041095900967,3842.115343778881,15373.292588875838,25835.795935874343,1241.7607657040576
12,Auasi,1449.0404240952726,313.48645791480413,29.22739726026962,564.1931511824062,2010.0307391068065,3850.74269403348,118.93637001686984
13,Amouli,3328.934440288478,866.7871967769537,72.02465753422483,1062.8438646299614,4476.873525692106,8312.752033308841,268.29707040318544
14,Alega,1398.4839836857784,249.8124851458266,10.438356164340242,1086.4032287823711,4613.0383998090065,7417.395135968154,574.3514114338266
15,Laulii - Aumi,3811.106467020171,817.9095915818584,90.81369863017561,1863.5736462615182,9429.001925901144,15364.526372192126,1043.2562854965056
16,Fagasa,4100.730842234634,683.4983558175016,87.68219178079026,2369.3015624201953,13475.67946760672,21682.537769081915,2505.4542660045604
17,Aasu,10431.40248458442,748.4492883477675,91.85753424686763,7991.323630082212,38603.81249578408,62107.489068246694,6343.072433949731
18,Fagaalu,3245.123132408508,728.8530153096639,122.12876712334786,1825.2683514903488,10020.204317019403,16214.864104292059,1672.3255570057938
19,Aoloau Sisifo,1716.257125383554,0.0,0.0,1693.9938390431691,5587.799938040843,9640.014823095107,756.081452867177
20,Aoloau Sasae,6398.684491029438,101.90445354787681,15.657534246569428,5192.088810269237,22756.581982507967,37424.038402135535,3569.848219307938
21,Fagamalo,2434.859658569453,198.32181303743977,8.350684931506015,2166.1642012936436,7418.725876661669,12519.39211282404,769.1676705198674
22,Matuu - Faganeanea,3120.3082284637926,653.7125074923183,81.41917808211035,2276.483701982798,10777.562737891354,17224.08433598983,1553.7754109550906
23,Nuuuli Pala,33733.26331783719,7064.505632584668,1697.2767123236833,9458.465951481901,67667.55717091751,116355.9577204801,10661.416858796001
24,Maloata,3664.2127021243423,288.58750118818443,11.482191780812698,2966.3981475038427,11913.24542707112,20174.994017466175,2068.943082151628
25,Fagalii,3235.683380878517,604.2051236518415,41.753424657514415,2025.7509044324997,7822.178781838631,13622.869019539636,1248.0429198750762
26,Afao - Asili,3976.51961259678,249.53412791968307,39.66575342466537,2769.908276045834,12795.69363117134,21628.703816532216,2346.589446714678
27,Leone,35115.05286272718,6309.029577151832,926.9260273972147,7645.008547868192,62934.94220233039,107587.19468249915,8705.255043161913
28,Poloa,1723.581367923654,483.6960382150941,28.18356164381822,1063.097857003815,4139.867704387788,6990.575908721438,592.3819317096144
29,Nua - Seetaga,4540.385697594408,568.5094224807164,62.63013698634521,3358.495859741622,13086.431425861389,22475.141464239157,2034.4564812670687
30,Tafuna Plain,46314.98110328938,9713.950106547902,2081.408219173437,971.6874459819794,45273.285299339936,88114.3569810007,4210.0065125051115
31,Amanave,1786.7838765088504,320.05044513190313,40.709589041090325,1005.0049315426878,3843.1226463857765,6831.312595834543,462.339149289024
32,Fagatele - Larsen,7678.141641590326,436.5390234466282,40.70958904103326,1725.6359946377193,7834.6700140900675,17898.21620993855,1214.7654380438833
