,actual_et,direct_net_infiltation,direct_soil_moisture,interception,net_infiltration,rainfall,runoff
JAN,283.8796762588577,50.57709942765598,7.225695618549169,106.09099931638754,523.0085351996145,938.2385584778051,47.129225591344394
FEB,271.99075333573467,50.57709942765598,7.225695618549169,102.78956383871476,510.6255124804021,892.22598949967,58.76299899256703
MAR,253.04666280644184,50.57709942765598,7.225695618549169,101.77817737194087,621.6256778864688,1017.1215924929814,80.16698352200066
APR,217.34675522852302,50.57709942765598,7.225695618549169,95.70238059302717,483.15820796552265,809.8874818581432,60.440556011558876
MAY,179.29219913757265,50.57709942765598,7.225695618549169,86.41205414248319,537.314637611052,792.4225760334392,46.81813876451242
JUN,157.95685493668964,50.57709942765598,7.225695618549169,87.22799728432943,632.5298584452868,938.5455609928133,99.92452717878865
JUL,159.06530967663332,50.57709942765598,7.225695618549169,73.77975764711664,481.5931441168323,727.279054072383,67.51074875907481
AUG,182.45197895423124,50.57709942765598,7.225695618549169,75.69361082346833,447.02114222395466,689.6499652878088,44.04281886407699
SEP,207.62762558022177,50.57709942765598,7.225695618549169,82.3041779789287,443.46591812715053,752.272887583127,59.40619810980807
OCT,236.948011025291,50.57709942765598,7.225695618549169,98.60321168854797,553.0450040870098,934.8025058790621,97.7179809286757
NOV,256.3280104056268,50.57709942765598,7.225695618549169,86.81682002451107,507.8001945912011,866.4891321546538,85.75948379652793
DEC,263.8800983071137,50.57709942765598,7.225695618549169,96.84900817624444,569.8341317080187,973.550551753401,80.42183761913394
