OID,SHED_NAME,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
0,Fagatuitui - Vaaogeoge,1,2040,5100000.000000000000000,0.000000000000000,66.599998474100005,66.599998474100005,46.695558844799997,10.195281340399999,95258.940043399998103
1,Vatia,2,1949,4872500.000000000000000,0.000000000000000,102.010002135999997,102.010002135999997,48.754279046599997,10.839569637100000,95022.089861900007236
2,Tula,3,651,1627500.000000000000000,0.000000000000000,92.949996948199995,92.949996948199995,30.789001501500000,17.965340153300001,20043.639977499999077
3,Onenoa,4,359,897500.000000000000000,0.000000000000000,82.139999389600007,82.139999389600007,32.194791079200002,11.186218883400000,11557.929997400000502
4,Afono,5,1347,3367500.000000000000000,0.000000000000000,111.199996948000006,111.199996948000006,52.834870063700002,12.271238621100000,71168.569975899998099
5,Masefau,6,1443,3607500.000000000000000,0.000000000000000,106.519996642999999,106.519996642999999,48.190609855900000,16.001487853699999,69539.050022099996568
6,Aoa,7,877,2192500.000000000000000,0.000000000000000,82.720001220699999,82.720001220699999,33.091630585499999,9.635958686900000,29021.360023500001262
7,Masausi,8,617,1542500.000000000000000,0.000000000000000,90.519996643100001,90.519996643100001,42.355072914899999,15.259741356899999,26133.079988500001491
8,Sailele,9,263,657500.000000000000000,0.000000000000000,88.930000305199997,88.930000305199997,34.919657790599999,15.879015374400000,9183.869998930000293
9,Alao,10,540,1350000.000000000000000,0.000000000000000,96.779998779300001,96.779998779300001,35.071833357999999,13.855084846300000,18938.790013300000282
10,Pago Pago Harbor,11,4176,10440000.000000000000000,0.000000000000000,118.449996948000006,118.449996948000006,54.747368345399998,15.050764827400000,228625.010210000007646
11,Fagaitua,12,1949,4872500.000000000000000,0.000000000000000,107.410003661999994,107.410003661999994,46.481210855900002,13.189369373000000,90591.879958200006513
12,Auasi,13,377,942500.000000000000000,0.000000000000000,82.699996948199995,82.699996948199995,31.921697551400001,12.516855546600000,12034.479976900000111
13,Amouli,14,787,1967500.000000000000000,0.000000000000000,87.449996948199995,87.449996948199995,34.934612524999999,14.257616593700000,27493.540057199999865
14,Alega,15,513,1282500.000000000000000,0.000000000000000,104.440002441000004,104.440002441000004,52.494600418700003,10.211794138400000,26929.730014799999481
15,Laulii - Aumi,16,1083,2707500.000000000000000,0.000000000000000,101.180000304999993,101.180000304999993,49.790895691899998,8.942874744019999,53923.540034300000116
16,Fagasa,17,1393,3482500.000000000000000,0.000000000000000,115.669998168999996,115.669998168999996,55.808348905800003,11.406453589900000,77741.030025700005353
17,Aasu,18,3370,8425000.000000000000000,0.000000000000000,148.470001220999990,148.470001220999990,66.516925838899994,15.279866082500000,224162.040077000012388
18,Fagaalu,19,991,2477500.000000000000000,0.000000000000000,116.269996642999999,116.269996642999999,58.678819395799998,12.866068445700000,58150.710021300001245
19,Aoloau Sisifo,20,632,1580000.000000000000000,0.000000000000000,95.639999389600007,95.639999389600007,51.045474732999999,12.388488511700000,32260.740031199999066
20,Aoloau Sasae,21,2114,5285000.000000000000000,0.000000000000000,122.169998168999996,122.169998168999996,62.613718022000000,13.077278957600001,132365.399899000010919
21,Fagamalo,22,848,2120000.000000000000000,0.000000000000000,105.169998168999996,105.169998168999996,50.607712284599998,13.034073409299999,42915.340017299997271
22,Matuu - Faganeanea,23,1036,2590000.000000000000000,0.000000000000000,101.629997252999999,101.629997252999999,59.830057963400002,10.955449390500000,61983.940050099998189
23,Nuuuli Pala,24,7034,17585000.000000000000000,0.000000000000000,145.929992676000012,145.929992676000012,56.017777955299998,21.335325634899998,394029.050136999983806
24,Maloata,25,1118,2795000.000000000000000,0.000000000000000,107.360000610000000,107.360000610000000,62.625375607800002,11.523204453500000,70015.169929499999853
25,Fagalii,26,823,2057500.000000000000000,0.000000000000000,106.349998474000003,106.349998474000003,56.645710765499999,15.408666649200001,46619.419959999999264
26,Afao - Asili,27,1105,2762500.000000000000000,0.000000000000000,105.529998778999996,105.529998778999996,68.057267019899996,8.270052827360001,75203.280056999996305
27,Leone,28,5866,14665000.000000000000000,0.000000000000000,144.529998779000010,144.529998779000010,62.134128899899999,17.538298172299999,364478.800127000024077
28,Poloa,29,425,1062500.000000000000000,0.000000000000000,116.989997864000003,116.989997864000003,57.253529281600002,16.853690881700000,24332.749944700000924
29,Nua - Seetaga,30,1238,3095000.000000000000000,0.000000000000000,127.230003357000001,127.230003357000001,61.493982265800000,8.668417869980001,76129.550044999996317
30,Tafuna Plain,31,5671,14177500.000000000000000,0.000000000000000,120.809997558999996,120.809997558999996,47.057273829899998,22.886045304200000,266861.799890000023879
31,Amanave,32,404,1010000.000000000000000,18.590000152599998,104.949996948000006,86.359996795699999,55.491732701200000,11.216636200600000,22418.660011299998587
32,Fagatele - Larsen,33,1260,3150000.000000000000000,0.000000000000000,96.720001220699999,96.720001220699999,40.005047619199999,11.787431438200000,50406.360000100001344
