,SHED_NAME,actual_et,direct_net_infiltation,direct_soil_moisture,interception,net_infiltration,rainfall,runoff
0,Fagatuitui - Vaaogeoge,0.16533797076753995,0.0,0.0,0.18302731567700808,0.5817184462987123,1.0,0.08029427802929673
1,Vatia,0.17729968368643845,0.01774115298062991,0.0005661548109690015,0.17001276684929256,0.6027412448459946,1.0,0.06521273070793845
2,Tula,0.2661958471405335,0.07899235128605413,0.002209340806779971,0.17294956597173833,0.5776915949029652,1.0,0.044871186146779374
3,Onenoa,0.23258762841705385,0.03789482082726125,0.0005422971391873414,0.19113307846396152,0.5780824259284736,1.0,0.02935138067198315
4,Afono,0.1879939486606859,0.017006770722371983,0.0007916590145647558,0.12918960330195972,0.6244812151161604,1.0,0.07344572519695963
5,Masefau,0.2025858083465981,0.04053536699935919,0.0002669428888691401,0.15413495924343945,0.6151661503979715,1.0,0.06996154900130308
6,Aoa,0.25162562784715437,0.03373875828875734,0.0005600134714720781,0.16455659975144532,0.5784338066938061,1.0,0.03449514973976099
7,Masausi,0.2160458020347115,0.058857790013768084,0.00040904079475511556,0.1908175304721241,0.605231757498349,1.0,0.044402514740925894
8,Sailele,0.2360059097743862,0.07465113992011287,0.0023297336946415032,0.17424725555079773,0.6096725420580554,1.0,0.03753330441287784
9,Alao,0.24796604041549958,0.07960010831644508,0.00122329965713622,0.1691141875585409,0.6120613843321863,1.0,0.042829177532987844
10,Pago Pago Harbor,0.20999230474021127,0.07448245564709657,0.0037034354787814374,0.11663411475347729,0.6344693541372518,1.0,0.07388957064911333
11,Fagaitua,0.17690047855546215,0.05662073200235253,0.0007676510823033255,0.17350779728658494,0.6486919643251765,1.0,0.04651157499292873
12,Auasi,0.19783781865838748,0.06466827975146575,0.00027107384195158943,0.17653412909279878,0.6468305245598882,1.0,0.028113971736514667
13,Amouli,0.21133917545909006,0.08919202987245169,0.0007534224133631133,0.17628452072091505,0.6533501289142898,1.0,0.03236723638572497
14,Alega,0.14645240768650444,0.02997812604700143,0.0,0.15447742377813356,0.6548156308642311,1.0,0.0722000612763895
15,Laulii - Aumi,0.17877087824544102,0.034115986295756955,0.000679380275807456,0.130657056070204,0.6476758629580485,1.0,0.0668027829698521
16,Fagasa,0.17371923530964203,0.020702322421441495,0.0006258429321429721,0.11996446168247128,0.6134359171629526,1.0,0.11303164668901056
17,Aasu,0.14700251168885517,0.009475013323694936,0.00021848996340528178,0.137492036234249,0.6330140803521087,1.0,0.0982619677921515
18,Fagaalu,0.16618036586310683,0.03648283835262791,0.001738131227165552,0.12434494211078825,0.6253567617070994,1.0,0.09935104413899251
19,Aoloau Sisifo,0.14598083655499475,0.0,0.0,0.18049557475345127,0.6072589206703698,1.0,0.07749853951917413
20,Aoloau Sasae,0.1353320343089688,0.0018458537196010436,2.789211589681415e-05,0.15136288930741437,0.6296413170477917,1.0,0.09538057683213955
21,Fagamalo,0.16126806565453275,0.01479241946525871,0.0,0.17849010612234203,0.6171264883482465,1.0,0.06175993765507461
22,Matuu - Faganeanea,0.1223353516063169,0.02717419774137148,0.0012726684053369708,0.14221635129062388,0.6559491548117307,1.0,0.0908571104946205
23,Nuuuli Pala,0.22994314862500218,0.07074346166428806,0.0035794506711842424,0.0970760780869168,0.624427095296585,1.0,0.08545171442256098
24,Maloata,0.13119599258634104,0.013860554817399052,5.173907935412001e-05,0.16390405694083632,0.6220701585375065,1.0,0.10356671879338762
25,Fagalii,0.15973987852825475,0.041373006822234215,0.0002298713174757196,0.1736237215940693,0.6199315287381882,1.0,0.09288627440613112
26,Afao - Asili,0.12401603648428308,0.007562751957610631,0.00014478476731116495,0.15138783775609851,0.619889868259313,1.0,0.10934129582667813
27,Leone,0.251136493240214,0.04978341478029659,0.0008343917069188161,0.09862877029647178,0.6175526761238784,1.0,0.07679514906902399
28,Poloa,0.1573199942473116,0.06073856363307729,0.00029864080730010467,0.1824742608632329,0.6357599876940089,1.0,0.08538912160909155
29,Nua - Seetaga,0.12990922708209324,0.017352951572843143,0.00041799605857429956,0.16685140928028122,0.6241424254068659,1.0,0.09167265023431044
30,Tafuna Plain,0.3964294447764653,0.09325331288123388,0.004418697454892808,0.044177537039999694,0.5718350694635467,1.0,0.04018447968310761
31,Amanave,0.17498611983748558,0.03391737541421008,0.001680817795960172,0.17338934395609581,0.6061232723161917,1.0,0.0650550338693086
32,Fagatele - Larsen,0.22189879944156446,0.021455876147915453,0.00011664130147883517,0.17703398850832716,0.5465507146226921,1.0,0.07696897036187973
